Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
americ_vin.1,American_Indochina.txt,__UNSORTED_l_english.yml,Country,,2,TRUE,TRUE,GFX_report_event_help_PRC,812,3,N/A,UNFIRED,N/A,P3,Wire or cut,FALSE,,
americ_vin.2,American_Indochina.txt,[NONE],News,,1,FALSE,FALSE,GFX_report_event_help_PRC,0,0,NO_HEADER;NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_TITLE_LOC;NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
americ_vin.3,American_Indochina.txt,[NONE],News,,1,FALSE,FALSE,GFX_report_event_help_PRC,0,0,NO_HEADER;NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_TITLE_LOC;NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
americ_vin.4,American_Indochina.txt,__UNSORTED_l_english.yml,News,,1,TRUE,TRUE,GFX_report_event_help_PRC,912,3,OK,,A,P3,Keep,FALSE,,
americ_vin.5,American_Indochina.txt,__UNSORTED_l_english.yml,News,,1,TRUE,TRUE,GFX_report_event_help_PRC,746,3,OK,,A,P3,Keep,FALSE,,
america_colon.1,American_Indochina.txt,[NONE],News,,1,FALSE,FALSE,GFX_report_event_help_PRC,0,0,NO_HEADER;NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_TITLE_LOC;NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Geneva_Conference_Invitation.1,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Invitation,528,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Geneva_Conference_Invitation.2,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Invitation,527,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Geneva_Conference_Invitation.3,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Invitation,541,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Geneva_Conference_Invitation.4,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Invitation,527,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Geneva_Conference_Invitation.5,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Invitation,388,1,N/A,,A,P3,Keep,FALSE,,
Geneva_Conference_Negotiations.1,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Ceasefire,595,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.2,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Ceasefire,558,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.3,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Observer,521,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.4,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Ceasefire,531,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.5,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Reunification,580,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.6,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Reunification,568,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.7,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_USA_Intervention,545,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Negotiations.8,Geneva_Conference_Invitations.txt,events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Reunification,593,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Geneva_Conference_Outcome.1,Geneva_Conference_Invitations.txt,events_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Success,1045,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Outcome.2,Geneva_Conference_Invitations.txt,events_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Ceasefire,975,4,OK,UNFIRED,N/A,P3,Wire or cut,FALSE,,
Geneva_Conference_Outcome.3,Geneva_Conference_Invitations.txt,events_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Failure,902,4,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.1,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Invitation,741,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.2,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Failure,522,2,FEW_PARAS,,C,P2,Rewrite,FALSE,,
Geneva_Conference_Session.3,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Failure,689,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.4,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Failure,738,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.5,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Success,702,4,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.10,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Invitation,662,3,N/A,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.11,Geneva_Conference_Session.txt,[NONE],Hidden,,0,FALSE,FALSE,[NONE],0,0,N/A,HIDDEN,A,,Keep,FALSE,,
Geneva_Conference_Session.12,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Reunification,537,3,N/A,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.13,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_USA_Intervention,676,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.20,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Reunification,854,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.21,Geneva_Conference_Session.txt,[NONE],Hidden,,0,FALSE,FALSE,[NONE],0,0,N/A,HIDDEN,A,,Keep,FALSE,,
Geneva_Conference_Session.22,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Success,863,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.23,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,News,,1,TRUE,TRUE,GFX_Geneva_Conference_Outcome_Success,870,3,OK,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.24,Geneva_Conference_Session.txt,[NONE],Hidden,,0,FALSE,FALSE,[NONE],0,0,N/A,HIDDEN,A,,Keep,FALSE,,
Geneva_Conference_Session.25,Geneva_Conference_Session.txt,[NONE],Hidden,,0,FALSE,FALSE,[NONE],0,0,N/A,HIDDEN,A,,Keep,FALSE,,
Geneva_Conference_Session.26,Geneva_Conference_Session.txt,CWIC_Geneva_Conference_l_english.yml,Country,,1,TRUE,TRUE,GFX_Geneva_Conference_Negotiations_Reunification,753,3,N/A,,A,P3,Keep,FALSE,,
Geneva_Conference_Session.27,Geneva_Conference_Session.txt,[NONE],Hidden,,0,FALSE,FALSE,[NONE],0,0,N/A,HIDDEN,A,,Keep,FALSE,,
VIE_Border_Settlement.1,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,VIE,2,TRUE,TRUE,GFX_French_Drawn_Borders.1,665,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.2,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,498,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.3,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,411,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.4,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,483,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.10,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,367,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.11,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,405,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.12,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,"CAM, LAO, LOS",1,TRUE,TRUE,GFX_French_Drawn_Borders.1,393,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.13,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,653,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.20,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,"CAM, LOS",2,TRUE,TRUE,GFX_French_Drawn_Borders.1,576,2,N/A,,A,P3,Keep,FALSE,,
VIE_Border_Settlement.21,VIE_Border_Settlement.txt,VIE_Border_Settlement_l_english.yml,Country,,1,TRUE,TRUE,GFX_French_Drawn_Borders.1,452,2,N/A,,A,P3,Keep,FALSE,,
