Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
AmericanOffer.1,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",Country,,2,TRUE,TRUE,GFX_AmericanOffer_1,894,1,N/A,NON_ASCII;SMART_PUNCT;NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
AmericanOffer.2,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",Country,,1,TRUE,TRUE,GFX_AmericanOffer_2,459,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
AmericanOffer.3,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",Country,,1,TRUE,TRUE,GFX_AmericanOffer_3,563,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
AmericanOffer.4,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",News,,1,TRUE,TRUE,GFX_AmericanOffer_4,678,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
Decolonization_VIE.1,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",Country,,1,TRUE,TRUE,GFX_Decolonization_VIE_1,577,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Establish_SEATO.1,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",News,,1,TRUE,TRUE,GFX_Establish_SEATO_1,882,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
INO_CIA_EXPOSURE.0,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",Country,,1,TRUE,TRUE,GFX_INO_CIA_EXPOSURE_0,641,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
INO_CIA_EXPOSURE.1,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",Country,,1,TRUE,TRUE,GFX_INO_CIA_EXPOSURE_1,657,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Operation_Vulture.1,America_1950s_Expansion.txt,"USA_50s_l_english.yml, extracted_America_l_english.yml",News,,1,TRUE,TRUE,GFX_Operation_Vulture_1,714,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
Passage_to_Freedom.0,America_1950s_Expansion.txt,"__AMERICA_l_english.yml, extracted_America_l_english.yml",News,,1,TRUE,TRUE,GFX_Passage_to_Freedom_0,973,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
