Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
Lon_Nol_coup.1,Cambodia.txt,[NONE],Country,,1,FALSE,FALSE,GFX_report_event_cambodia,0,0,N/A,NO_TITLE_LOC;NO_DESC_LOC;NO_OPTION_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.1,Cambodia.txt,"__UNSORTED_l_english.yml, misc_l_english.yml",Country,,2,TRUE,TRUE,GFX_report_event_soviet_invasion_map,550,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
cambodia.2,Cambodia.txt,"__UNSORTED_l_english.yml, misc_l_english.yml",News,,4,TRUE,TRUE,GFX_Cambodian_Civil_War,550,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,C,P2,Rewrite,FALSE,,
cambodia.11,Cambodia.txt,[NONE],Country,,2,FALSE,FALSE,GFX_report_event_soviet_invasion_map,0,0,N/A,NO_TITLE_LOC;NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.3500,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,FALSE,GFX_news_event_001,0,0,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.3501,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,FALSE,GFX_news_event_001,0,0,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.3502,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,FALSE,GFX_news_event_001,0,0,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.4001,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,TRUE,GFX_news_event_001,825,3,OK,,A,P3,Keep,FALSE,,
cambodia.4002,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,TRUE,GFX_news_event_001,706,3,OK,,A,P3,Keep,FALSE,,
cambodia.4010,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,FALSE,GFX_news_event_001,0,0,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.4020,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,FALSE,GFX_news_event_001,0,0,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
cambodia.6000,Cambodia.txt,__UNSORTED_l_english.yml,News,,1,TRUE,TRUE,GFX_news_event_001,829,3,OK,,A,P3,Keep,FALSE,,
Assasination_Nop.1,Cambodia_1950s.txt,"__UNSORTED_l_english.yml, events_Boski_Events_l_english.yml",Country,,1,TRUE,TRUE,GFX_Generic_1950s_Cambodia,1013,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Bangkok_Coup.1,Cambodia_1950s.txt,"__UNSORTED_l_english.yml, events_Boski_Events_l_english.yml",News,,1,TRUE,TRUE,GFX_Bangkok_Coup_1,918,1,NO_HEADER;NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Bangkok_Coup.2,Cambodia_1950s.txt,"__UNSORTED_l_english.yml, events_Boski_Events_l_english.yml",News,,1,TRUE,TRUE,GFX_Bangkok_Coup_2,999,1,NO_HEADER;NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Bangkok_Coup.5,Cambodia_1950s.txt,"__UNSORTED_l_english.yml, events_Boski_Events_l_english.yml",Country,,1,TRUE,TRUE,GFX_Cam_Exile_1,723,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
CAM_Economic.1,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Economic.1,1140,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Economic.2,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Economic.2,1103,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Economic.3,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Economic.3,1002,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Economic.4,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Economic.4,931,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Economic.5,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Economic.5,970,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Economic.6,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Economic.6,1002,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Exile.2,Cambodia_1950s.txt,"__UNSORTED_l_english.yml, events_Boski_Events_l_english.yml",Country,,1,TRUE,TRUE,GFX_Cam_Exile_2,808,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Military.1,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Military.1,711,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Military.2,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Military.2,1726,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Military.3,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Military.3,1273,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Military.4,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Military.4,1014,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
CAM_Military.5,Cambodia_1950s.txt,French_Indochina_l_english.yml,Country,,1,TRUE,TRUE,GFX_CAM_Military.5,751,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
