Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
MLA.100,Com_Malaysia.txt,__UNSORTED_l_english.yml,Country,,2,TRUE,FALSE,GFX_news_event_nuremberg,0,0,N/A,NO_DESC_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Merdaka.100,Com_Malaysia.txt,[NONE],News,,1,FALSE,FALSE,GFX_news_event_nuremberg,0,0,NO_HEADER;NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_TITLE_LOC;NO_DESC_LOC;NO_OPTION_LOC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
KLFA_insurgency_options.1,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",Country,,1,TRUE,TRUE,GFX_Mau_Mau_Insurgency_1,516,1,N/A,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
KLFA_insurgency_options.2,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",Country,,1,TRUE,TRUE,GFX_Mau_Mau_Insurgency_2,463,1,N/A,TRAILING_SPACE;NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
KLFA_insurgency_options.3,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",Country,,1,TRUE,TRUE,GFX_Mau_Mau_Insurgency_3,526,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
KLFA_insurgency_options.4,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",Country,,1,TRUE,TRUE,GFX_Mau_Mau_Insurgency_4,553,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
KLFA_insurgency_options.5,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",Country,,1,TRUE,TRUE,GFX_Mau_Mau_Insurgency_5,560,1,N/A,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
KLFA_insurgency_options.6,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",Country,,1,TRUE,TRUE,GFX_Mau_Mau_Insurgency_6,492,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
KLFA_insurgency_options.10,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",News,,1,TRUE,TRUE,GFX_Mau_Mau_End,781,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
KLFA_insurgency_options.11,KLFA_Events.txt,"__UNSORTED_l_english.yml, insurgency_l_english.yml",News,,1,TRUE,TRUE,GFX_Mau_Mau_Victory,721,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
MLA.0,MLA.txt,"events_l_english.yml, extracted_MLA_l_english.yml",Country,,1,TRUE,TRUE,GFX_MLA.0,1218,2,N/A,,A,P3,Keep,FALSE,,
MLA.1,MLA.txt,"events_l_english.yml, extracted_MLA_l_english.yml",News,,1,TRUE,TRUE,GFX_Fall_Of_Singapore,776,1,NO_DATELINE;FEW_PARAS,NON_ASCII;SMART_PUNCT;NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
