Event ID,Event File,Loc File,Type,Fires For,Options,Has Title,Has Description,Picture,Desc Chars,Paragraphs,News Format,Flags,Grade,Priority,Action,Completion,Context,Notes
nva.1,North Vietnam.txt,__UNSORTED_l_english.yml,Country,,3,TRUE,TRUE,[NONE],38,1,N/A,THIN_DESC;UNFIRED,N/A,P3,Wire or cut,FALSE,,
CPSU_VIN.1,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",Country,,1,TRUE,TRUE,GFX_CPSU_VIN_1,743,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Le_Duan.1,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",Country,,1,TRUE,TRUE,GFX_Le_Duan_1,784,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
VIN_Bao_Dai.1,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",Country,,1,TRUE,TRUE,GFX_VIN_Bao_Dai_1,414,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
VIN_Geneva.1,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",Country,,1,TRUE,TRUE,GFX_VIN_Geneva_1,394,1,N/A,UNFIRED,N/A,P3,Wire or cut,FALSE,,
VIN_Geneva.2,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",Country,,1,TRUE,TRUE,GFX_VIN_Geneva_2,420,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
VWP.1,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",Country,,3,TRUE,TRUE,GFX_VWP_1,587,1,N/A,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Vietnam_America.1,North_Vietnam_Flavor.txt,"__UNSORTED_l_english.yml, events_Vietnam_War_l_english.yml",News,,1,TRUE,TRUE,GFX_Vietnam_America_1,586,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
SWF_VIN.0,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],750,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.1,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,2,TRUE,TRUE,[NONE],658,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.2,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,2,TRUE,TRUE,[NONE],670,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.3,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,2,TRUE,TRUE,[NONE],712,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.4,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,2,TRUE,TRUE,[NONE],721,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.5,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],714,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.6,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],696,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.7,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],628,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.8,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],682,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.9,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],743,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.10,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],703,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.11,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],724,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.12,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],672,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.13,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],656,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.14,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],682,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.15,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],723,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.16,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,3,TRUE,TRUE,[NONE],745,2,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.17,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,"NLF, VIN",2,TRUE,TRUE,[NONE],1511,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
SWF_VIN.150,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1895,5,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.151,SWF_VIN_events.txt,SWF_VIN_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1436,4,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.50,SWF_VIN_second_congress_events_final.txt,SWF_VIN_second_congress_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1327,3,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.51,SWF_VIN_second_congress_events_final.txt,SWF_VIN_second_congress_l_english.yml,Country,,3,TRUE,TRUE,[NONE],1211,3,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.52,SWF_VIN_second_congress_events_final.txt,SWF_VIN_second_congress_l_english.yml,Country,,2,TRUE,TRUE,[NONE],1242,3,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.53,SWF_VIN_second_congress_events_final.txt,SWF_VIN_second_congress_l_english.yml,Country,,3,TRUE,TRUE,[NONE],1326,3,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.54,SWF_VIN_second_congress_events_final.txt,SWF_VIN_second_congress_l_english.yml,Country,,3,TRUE,TRUE,[NONE],1315,3,N/A,,A,P3,Keep,FALSE,,
SWF_VIN.55,SWF_VIN_second_congress_events_final.txt,SWF_VIN_second_congress_l_english.yml,Country,,1,TRUE,TRUE,[NONE],1259,3,N/A,,A,P3,Keep,FALSE,,
VIN_Camp.1,VIN_Campaign_Events.txt,VIN_events_l_english.yml,Country,,4,TRUE,TRUE,GFX_report_event_tanks_vietnam,387,3,N/A,,A,P3,Keep,FALSE,,
VIN_Camp.2,VIN_Campaign_Events.txt,VIN_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_report_event_tanks_vietnam,326,2,N/A,,A,P3,Keep,FALSE,,
VIN_Camp.3,VIN_Campaign_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_report_event_tanks_vietnam,697,3,N/A,,A,P3,Keep,FALSE,,
VIN_Camp.4,VIN_Campaign_Events.txt,VIN_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_report_event_tanks_vietnam,462,3,N/A,,A,P3,Keep,FALSE,,
Binh_Cung_Leadership.1,VIN_Events.txt,VIN_events_l_english.yml,Country,NLF,1,TRUE,TRUE,GFX_Binh_Cung_Leadership.1,629,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Binh_Cung_Leadership.2,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Binh_Cung_Leadership.2,598,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Binh_Cung_Leadership.3,VIN_Events.txt,VIN_events_l_english.yml,Country,NLF,1,TRUE,TRUE,GFX_Binh_Cung_Leadership.3,628,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Binh_Cung_Leadership.4,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Binh_Cung_Leadership.4,591,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Binh_Cung_Leadership.5,VIN_Events.txt,"VIN_events_l_english.yml, extracted_misc_l_english.yml",Country,,2,TRUE,TRUE,GFX_Binh_Cung_Leadership_5,1058,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
Binh_Cung_Leadership.6,VIN_Events.txt,"VIN_events_l_english.yml, extracted_misc_l_english.yml",Country,,1,TRUE,TRUE,GFX_Binh_Cung_Leadership_5,921,2,N/A,,A,P3,Keep,FALSE,,
Binh_Cung_Leadership.7,VIN_Events.txt,"VIN_events_l_english.yml, extracted_misc_l_english.yml",News,,1,TRUE,TRUE,GFX_Binh_Cung_Leadership_7,774,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
Binh_Cung_Leadership.8,VIN_Events.txt,"VIN_events_l_english.yml, extracted_misc_l_english.yml",Country,,1,TRUE,TRUE,GFX_Binh_Cung_Leadership_8,973,2,N/A,,A,P3,Keep,FALSE,,
Binh_Cung_Leadership.9,VIN_Events.txt,"VIN_events_l_english.yml, extracted_misc_l_english.yml",Country,,1,TRUE,TRUE,GFX_Binh_Cung_Leadership_9,717,2,N/A,,A,P3,Keep,FALSE,,
Chinese_Resettlement.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Chinese_Resettlement.1,0,0,N/A,,A,P3,Keep,FALSE,,
NUN_VIE.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_VIE.1,552,1,N/A,NON_ASCII;SMART_PUNCT;NO_PARA_BREAKS,B,P2,Polish,FALSE,,
NUN_VIN.0,VIN_Events.txt,NUN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_NUN_VIN.0,689,1,NO_HEADER;NO_DATELINE;FEW_PARAS,NON_ASCII;SMART_PUNCT;TRAILING_SPACE;NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
NUN_VIN.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_VIN.1,934,1,N/A,NON_ASCII;SMART_PUNCT;NO_PARA_BREAKS,B,P2,Polish,FALSE,,
NUN_VIN.2,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_VIN.2,0,0,N/A,,A,P3,Keep,FALSE,,
NUN_VIN.3,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_VIN.3,711,1,N/A,NON_ASCII;SMART_PUNCT;NO_PARA_BREAKS,B,P2,Polish,FALSE,,
NUN_Vien.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_Vien.1,0,0,N/A,,A,P3,Keep,FALSE,,
NUN_Vong.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_Vong.1,0,0,N/A,,A,P3,Keep,FALSE,,
NUN_Vong.2,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_Vong.2,0,0,N/A,,A,P3,Keep,FALSE,,
NUN_Vong.3,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NUN_Vong.3,0,0,N/A,,A,P3,Keep,FALSE,,
NonVunSluTen_Published.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_NonVunSluTen_Published.1,0,0,N/A,,A,P3,Keep,FALSE,,
Nung_Future.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Nung_Future.1,864,1,N/A,NON_ASCII;SMART_PUNCT;TRAILING_SPACE;NO_PARA_BREAKS,B,P2,Polish,FALSE,,
Nung_Independence.0,VIN_Events.txt,NUN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_Nung_Independence.0,0,0,NO_HEADER;NO_DATELINE;TOO_SHORT;FEW_PARAS,,C,P2,Rewrite,FALSE,,
Nung_Independence.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_Nung_Independence.1,0,0,N/A,,A,P3,Keep,FALSE,,
Nung_Independence.2,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Nung_Independence.2,0,0,N/A,,A,P3,Keep,FALSE,,
Nung_Supreme_Court.1,VIN_Events.txt,NUN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_Nung_Supreme_Court.1,0,0,N/A,,A,P3,Keep,FALSE,,
VIN_Battle.0,VIN_Events.txt,VIN_events_l_english.yml,News,VIN,1,TRUE,TRUE,GFX_VIN_Battle,909,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
VIN_Econ.1,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_1,1805,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.2,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_2,2243,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.3,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_2,2377,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.4,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_4,2146,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.5,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_5,191,1,N/A,THIN_DESC;MAJOR_BROADCAST,D,P2,Rewrite,FALSE,,
VIN_Econ.6,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_6,187,1,N/A,THIN_DESC;MAJOR_BROADCAST,D,P2,Rewrite,FALSE,,
VIN_Econ.7,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_7,1514,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.8,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_8,1749,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.9,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_9,1164,3,N/A,MAJOR_BROADCAST,B,P2,Polish,FALSE,,
VIN_Econ.10,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_10,1341,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.11,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_11,1218,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.12,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_12,1362,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.13,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_13,1062,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.14,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_14,1853,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Econ.15,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_15,1054,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.16,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_16,1143,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.17,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_17,0,0,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.18,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_18,1544,4,N/A,MAJOR_BROADCAST,B,P2,Polish,FALSE,,
VIN_Econ.19,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_19,1291,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.20,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_20,1290,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.21,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_21,1144,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.22,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_22,1383,3,N/A,MAJOR_BROADCAST,B,P2,Polish,FALSE,,
VIN_Econ.23,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_23,1121,3,N/A,MAJOR_BROADCAST,B,P2,Polish,FALSE,,
VIN_Econ.24,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_24,1179,3,N/A,NON_ASCII;SMART_PUNCT;MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.25,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_25,1412,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Econ.26,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Econ_26,1401,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Geneva_Conference.1,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Geneva_Conference.1,463,1,N/A,NO_PARA_BREAKS;MAJOR_BROADCAST,B,P3,Polish,FALSE,,
VIN_Geneva_Conference.100,VIN_Events.txt,VIN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_VIN_Geneva_Conference.100,452,1,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_PARA_BREAKS,C,P2,Rewrite,FALSE,,
VIN_Geneva_Conference.200,VIN_Events.txt,VIN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_VIN_Geneva_Conference.200,920,4,OK,,A,P3,Keep,FALSE,,
VIN_Intro.1,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Intro_1,1775,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
VIN_Intro.2,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Intro_2,1852,1,N/A,NO_PARA_BREAKS,B,P3,Polish,FALSE,,
VIN_Land_Reform.1,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Land_Reform_1,1963,9,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Land_Reform.2,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Land_Reform_2,1758,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Land_Reform.3,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Land_Reform_3,1691,3,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Land_Reform.4,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Land_Reform_4,1899,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Land_Reform.5,VIN_Events.txt,VIN_events_l_english.yml,Country,,5,TRUE,TRUE,GFX_VIN_Land_Reform_5,1352,8,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Land_Reform.100,VIN_Events.txt,VIN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_VIN_Land_Reform_100,1317,4,NO_DATELINE,,C,P2,Rewrite,FALSE,,
VIN_Liberation.0,VIN_Events.txt,VIN_events_l_english.yml,News,VIN,1,TRUE,TRUE,GFX_VIN_Liberation,1146,1,NO_DATELINE;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
VIN_Napalm.0,VIN_Events.txt,VIN_events_l_english.yml,News,VIN,1,TRUE,TRUE,GFX_VIN_Napalm,489,1,NO_DATELINE;TOO_SHORT;FEW_PARAS,NO_PARA_BREAKS;UNFIRED,N/A,P3,Wire or cut,FALSE,,
VIN_Nhan_Van_Giai_Pham.1,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_1,1502,3,N/A,,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.2,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_2,1958,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.3,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_3,1901,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.4,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_4,1652,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.5,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_5,1861,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.6,VIN_Events.txt,VIN_events_l_english.yml,Country,,2,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_6,1861,5,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.7,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_7,1906,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.8,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_8,1837,4,N/A,MAJOR_BROADCAST,B,P2,Polish,FALSE,,
VIN_Nhan_Van_Giai_Pham.9,VIN_Events.txt,VIN_events_l_english.yml,Country,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_9,1982,4,N/A,MAJOR_BROADCAST,A,P3,Keep,FALSE,,
VIN_Nhan_Van_Giai_Pham.100,VIN_Events.txt,VIN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_100,1918,5,NO_DATELINE,,C,P2,Rewrite,FALSE,,
VIN_Nhan_Van_Giai_Pham.101,VIN_Events.txt,VIN_events_l_english.yml,News,,1,TRUE,TRUE,GFX_VIN_Nhan_Van_Giai_Pham_101,1849,4,NO_DATELINE,,C,P2,Rewrite,FALSE,,
