Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
CAM_Dissolve_the_National_Assembly,CAM_50s.txt,CAM,11,GFX_Monarchist_Reduce_Autonomy,bespoke,yes,,,,,
CAM_Fifty_Percent_Independence,CAM_50s.txt,CAM,27,GFX_Break_Treaty,bespoke,yes,,,,,
CAM_Take_Administrative_Control_of_the_Nation,CAM_50s.txt,CAM,47,GFX_Control,bespoke,yes,,,,,
CAM_Military_Autonomy,CAM_50s.txt,CAM,65,GFX_MilitaryGovernment,bespoke,yes,,,,,
CAM_International_Independence_Tour,CAM_50s.txt,CAM,83,GFX_Travel_Modernization,bespoke,yes,,,,,
CAM_Additional_French_Bases,CAM_50s.txt,CAM,104,GFX_FortificationEffort,bespoke,yes,,,,,
CAM_Extended_Asian_Recognition_Campaign,CAM_50s.txt,CAM,127,GFX_BullishDiplomacy,bespoke,yes,,,,,
CAM_Thailand_Recognization,CAM_50s.txt,CAM,150,GFX_THL_handshake,bespoke,yes,,,,,
CAM_South_Korean_Recognition,CAM_50s.txt,CAM,179,GFX_KOR_handshake,bespoke,yes,,,,,
CAM_Elections_of_1951,CAM_50s.txt,CAM,208,GFX_Adopt_Enhanced_Majority_System,bespoke,yes,,,,,
CAM_Democratic_Victory,CAM_50s.txt,CAM,223,GFX_goal_generic_support_democracy,vanilla,yes,,,,,
CAM_Demand_Independence,CAM_50s.txt,CAM,241,GFX_microphone,bespoke,yes,,,,,
CAM_Enforce_Party_Dominance,CAM_50s.txt,CAM,261,GFX_CardTricks,bespoke,yes,,,,,
CAM_Attract_the_Intellectual_Elite,CAM_50s.txt,CAM,282,GFX_Generic_National_Focus_Research_3,generic library,yes,,,,,
CAM_Reform_Colonial_Policies,CAM_50s.txt,CAM,300,GFX_Colonial_exploration,bespoke,yes,,,,,
CAM_Liberal_Victory,CAM_50s.txt,CAM,318,GFX_Generic_National_Focus_Politics_1,generic library,yes,,,,,
CAM_Support_French_Military_Mission,CAM_50s.txt,CAM,336,GFX_FRA_Cooperation,bespoke,yes,,FOREIGN:FRA,,,
CAM_Rivalry_with_the_Democratic_Party,CAM_50s.txt,CAM,354,GFX_Tension_with_Turkey_rise,bespoke,yes,,,,,
CAM_Support_the_French,CAM_50s.txt,CAM,379,GFX_goal_FRA_deal,vanilla,yes,,FOREIGN:FRA,,,
CAM_Take_Advantage_of_Limited_Autonomy,CAM_50s.txt,CAM,402,GFX_Generic_National_Focus_Politics_2,generic library,yes,,,,,
CAM_Victorious_North_East_Party_Victory,CAM_50s.txt,CAM,422,GFX_Generic_National_Focus_Politics_3,generic library,yes,,,,,
CAM_Fund_the_Cambodian_Armed_Forces,CAM_50s.txt,CAM,440,GFX_Money,bespoke,yes,,,,,
CAM_Develop_the_Ratanakiri_Factories,CAM_50s.txt,CAM,458,GFX_Generic_Arab_Industry,bespoke,yes,,,,,
CAM_Defend_Against_Communist_Insurgents,CAM_50s.txt,CAM,483,GFX_icon_generic_communism,generic pack,yes,,,,,
CAM_Economic_Growth,CAM_50s.txt,CAM,507,GFX_goal_endless_money,vanilla,yes,,,,,
