Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
FRE_The_Situation_in_Route_Coloniale_4,FRE_50s_Indochina.txt,FRE,11,GFX_FRE_The_Situation_in_Route_Coloniale_4,bespoke,yes,,,,,
FRE_The_Fallout_of_the_Revers_Report,FRE_50s_Indochina.txt,FRE,24,GFX_FRE_The_Fallout_of_the_Revers_Report,bespoke,yes,,,,,
FRE_Send_De_lattre_de_Tassigny,FRE_50s_Indochina.txt,FRE,41,GFX_FRE_Send_De_lattre_de_Tassigny,bespoke,yes,,,,,
FRE_Prepare_for_the_Battle_of_Na_San,FRE_50s_Indochina.txt,FRE,56,GFX_FRE_Prepare_for_the_Battle_of_Na_San,bespoke,yes,,,,,
FRE_Operation_Lorraine,FRE_50s_Indochina.txt,FRE,85,GFX_FRE_Operation_Lorraine,bespoke,yes,,,,,
FRE_Operation_Hirondelle,FRE_50s_Indochina.txt,FRE,125,GFX_FRE_Operation_Hirondelle,bespoke,yes,,,,,
FRE_Prepare_for_the_Battle_of_Vinh_Yen,FRE_50s_Indochina.txt,FRE,161,GFX_FRE_Prepare_for_the_Battle_of_Vinh_Yen,bespoke,yes,,,,,
FRE_Recruit_Germans_to_the_FFL,FRE_50s_Indochina.txt,FRE,187,GFX_FRE_Recruit_Germans_to_the_FFL,bespoke,yes,,,,,
FRE_Secure_American_Financing,FRE_50s_Indochina.txt,FRE,222,GFX_FRE_Secure_American_Financing,bespoke,yes,,,,,
FRE_Operation_Mouette,FRE_50s_Indochina.txt,FRE,279,GFX_FRE_Operation_Mouette,bespoke,yes,,,,,
FRE_Prepare_for_the_Battle_of_Mao_Khe,FRE_50s_Indochina.txt,FRE,315,GFX_FRE_Prepare_for_the_Battle_of_Mao_Khe,bespoke,yes,,,,,
FRE_Operation_Brochet,FRE_50s_Indochina.txt,FRE,344,GFX_FRE_Operation_Brochet,bespoke,yes,,,,,
FRE_Operation_Castor,FRE_50s_Indochina.txt,FRE,380,GFX_FRE_Operation_Castor,bespoke,yes,,,,,
FRE_Operation_Pollux,FRE_50s_Indochina.txt,FRE,431,GFX_FRE_Operation_Pollux,bespoke,yes,,,,,
FRE_Operation_Atlante,FRE_50s_Indochina.txt,FRE,481,GFX_FRE_Operation_Atlante,bespoke,yes,,,,,
FRE_Preparing_for_the_Final_Push,FRE_50s_Indochina.txt,FRE,521,GFX_FRE_Preparing_for_the_Final_Push,bespoke,yes,,,,,
FRE_Proclaim_Victory_in_Indochina,FRE_50s_Indochina.txt,FRE,568,GFX_generic_focus_diplomacy_treaty_signing,generic library,yes,,,,,
FRE_The_Geneva_Accords,FRE_50s_Indochina.txt,FRE,613,GFX_generic_focus_diplomacy_italy_map,generic library,yes,,,,,
FRE_The_Fall_of_Saigon,FRE_50s_Indochina.txt,FRE,682,GFX_generic_focus_diplomacy_north_korean_leader,generic library,yes,,,,,
FRE_Lobby_the_National_Assembly,FRE_50s_Indochina.txt,FRE,727,GFX_FRE_Lobby_the_National_Assembly,bespoke,yes,,,,,
FRE_Streamline_Colonial_Logistics,FRE_50s_Indochina.txt,FRE,741,GFX_FRE_Streamline_Colonial_Logistics,bespoke,yes,,,,,
FRE_Manage_the_Press_Corps,FRE_50s_Indochina.txt,FRE,760,GFX_FRE_Manage_the_Press_Corps,bespoke,yes,,,,,
FRE_The_Expeditionary_Budget,FRE_50s_Indochina.txt,FRE,775,GFX_FRE_The_Expeditionary_Budget,bespoke,yes,,,,,
FRE_Court_the_American_Mission,FRE_50s_Indochina.txt,FRE,792,GFX_FRE_Court_the_American_Mission,bespoke,yes,,,,,
FRE_A_Telegram_to_Paris,FRE_50s_Indochina.txt,FRE,827,GFX_FRE_A_Telegram_to_Paris,bespoke,yes,,,,,
FRE_Jaunissement,FRE_50s_Indochina.txt,FRE,852,GFX_FRE_Jaunissement,bespoke,yes,,,,,
FRE_Arm_the_National_Army,FRE_50s_Indochina.txt,FRE,882,GFX_FRE_Arm_the_National_Army,bespoke,yes,,,,,
FRE_The_GCMA,FRE_50s_Indochina.txt,FRE,928,GFX_FRE_The_GCMA,bespoke,yes,,,,,
FRE_Joint_General_Staff,FRE_50s_Indochina.txt,FRE,943,GFX_FRE_Joint_General_Staff,bespoke,yes,,,,,
FRE_Montagnard_Loyalty,FRE_50s_Indochina.txt,FRE,982,GFX_FRE_Montagnard_Loyalty,bespoke,yes,,,,,
FRE_Coordinate_with_Saigon,FRE_50s_Indochina.txt,FRE,1022,GFX_FRE_Coordinate_with_Saigon,bespoke,yes,,,,,
