Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
LAO_50s_National_Assembly_of_the_Pathet_Lao,50s_LAO.txt,LAO,11,GFX_icon_generic_politics,generic pack,yes,,,,,
LAO_50s_Continue_Accepting_Orders_From_Hanoi,50s_LAO.txt,LAO,20,GFX_Vietnamese_Lao_Friendship,bespoke,yes,,,,,
LAO_50s_Use_Tropical_Monsoons_as_Cover,50s_LAO.txt,LAO,35,GFX_Pengang_ambush,bespoke,yes,,,,,
LAO_50s_Entrench_in_the_Mountains,50s_LAO.txt,LAO,47,GFX_Strike_Vieth_Minh_Positions,bespoke,yes,,,,,
LAO_50s_The_Best_Defense_is_a_Good_Defense,50s_LAO.txt,LAO,59,GFX_The_first_line_of_defense,bespoke,yes,,,,,
LAO_50s_Continue_the_March_to_Luang_Prabang,50s_LAO.txt,LAO,74,GFX_Anti_british_warMLA,bespoke,yes,,,,,
LAO_50s_Embrace_Frontal_Assault_Tactics,50s_LAO.txt,LAO,89,GFX_Battle_of_Semur_River,bespoke,yes,,,,,
LAO_50s_Attack_to_the_Last_Drop_of_Blood,50s_LAO.txt,LAO,101,GFX_Attack_Kuala_Lumpur,bespoke,yes,,,,,
LAO_50s_The_Best_Defense_is_a_Good_Offense,50s_LAO.txt,LAO,113,GFX_Generic_National_Focus_Military_1,generic library,yes,,,,,
LAO_50s_Secure_Support_Abroad,50s_LAO.txt,LAO,128,GFX_icon_generic_infrastructure,generic pack,yes,,,,,
LAO_50s_Request_Soviet_Material_Aid,50s_LAO.txt,LAO,141,GFX_icon_generic_soviet_truck,generic pack,yes,,,,,
LAO_50s_Ovurture_to_Beijing,50s_LAO.txt,LAO,153,GFX_Generic_National_Focus_Politics_1,generic library,yes,,,,,
LAO_50s_Petition_for_International_Recognition,50s_LAO.txt,LAO,165,GFX_usa_50_bring_the_issue_to_the_UN,bespoke,yes,,FOREIGN:usa_50,,,
LAO_50s_Secure_Support_at_Home,50s_LAO.txt,LAO,180,GFX_Found_the_Ioannina_Film_Academy,bespoke,yes,,,,,
LAO_50s_Increase_Peasant_Conscription,50s_LAO.txt,LAO,193,GFX_Conscription,bespoke,yes,,,,,
LAO_50s_Liquidate_Anti-Communist_Infiltrators,50s_LAO.txt,LAO,205,GFX_Liquidate_Uncooperative_Landlords,bespoke,yes,,,,,
LAO_50s_Liberate_the_Laotian_Woman,50s_LAO.txt,LAO,217,GFX_Generic_National_Focus_Politics_2,generic library,yes,,,,,
LAO_50s_Keep_Holding_Out,50s_LAO.txt,LAO,232,GFX_The_1952_Defense_Review,bespoke,yes,,,,,
LAO_50s_The_1954_Ceasefire,50s_LAO.txt,LAO,247,GFX_icon_generic_scales,generic pack,yes,,,,,
