Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
MLA_Anti_British_War,MLA_Initial_Emergency.txt,MLA,11,GFX_Anti_british_warMLA,bespoke,yes,,,,,
MLA_Retreat_to_the_Jungle,MLA_Initial_Emergency.txt,MLA,26,GFX_Jungle_wolf,bespoke,yes,,,,,
MLA_Take_Stock,MLA_Initial_Emergency.txt,MLA,47,GFX_Take_StockMLA,bespoke,yes,,,,,
MLA_Show_Ethnic_Chinese_the_Rights_of_Humans,MLA_Initial_Emergency.txt,MLA,80,GFX_Chinese_rightsMLA,bespoke,yes,,,,,
MLA_Show_the_Malay_a_Better_Future,MLA_Initial_Emergency.txt,MLA,119,GFX_Malay_a_better_future,bespoke,yes,,,,,
MLA_Show_the_British_a_Way_Out,MLA_Initial_Emergency.txt,MLA,141,GFX_Show_the_British_the_Way_Out,bespoke,yes,,,,,
MLA_Raid_Perak,MLA_Initial_Emergency.txt,MLA,163,GFX_Raid_French_Supply_Lines,bespoke,yes,,,,,
MLA_Attack_Kuala_Lumpur,MLA_Initial_Emergency.txt,MLA,190,GFX_Attack_Kuala_Lumpur,bespoke,yes,,,,,
MLA_Assault_Terrengganu,MLA_Initial_Emergency.txt,MLA,217,GFX_Assault_Terrenggu,bespoke,yes,,,,,
MLA_Operations_of_1950,MLA_Initial_Emergency.txt,MLA,244,GFX_Operations_of_1950,bespoke,yes,,,,,
MLA_Lessons_From_Comrade_Mao_Zedong,MLA_Initial_Emergency.txt,MLA,279,GFX_MLA_Lessons_From_Comrade_Mao_Zedong,bespoke,yes,,,,,
MLA_Lessons_From_Uncle_Ho_Chi_Minh,MLA_Initial_Emergency.txt,MLA,301,GFX_MLA_Lessons_From_Uncle_Ho_Chi_Minh,bespoke,yes,,,,,
MLA_Victory_in_the_Hearts_and_Minds,MLA_Initial_Emergency.txt,MLA,334,GFX_MLA_Victory_in_the_Hearts_and_Minds,bespoke,yes,,,,,
MLA_Pengang_Ambush,MLA_Initial_Emergency.txt,MLA,356,GFX_Pengang_ambush,bespoke,yes,,,,,
MLA_Bukit_Kepong_Incident,MLA_Initial_Emergency.txt,MLA,384,GFX_Bukit_Incident,bespoke,yes,,,,,
MLA_Battle_of_Semur_River,MLA_Initial_Emergency.txt,MLA,413,GFX_Battle_of_Semur_River,bespoke,yes,,,,,
MLA_OPERATION_TERMITE,MLA_Initial_Emergency.txt,MLA,444,GFX_All_together,bespoke,yes,,,,,
MLA_Request_Eastern_Bloc_Equipment,MLA_Initial_Emergency.txt,MLA,480,GFX_Soviet_EquipmentMLA,bespoke,yes,,,,,
MLA_Intercept_British_Convoys,MLA_Initial_Emergency.txt,MLA,507,GFX_Take_British_Supplies,bespoke,yes,,,,,
MLA_Intensify_Anti-Colonial_Propaganda,MLA_Initial_Emergency.txt,MLA,537,GFX_Propaganda_Warfare,bespoke,yes,,,,,
MLA_Raid_Jungle_Bases_From_Perak,MLA_Initial_Emergency.txt,MLA,554,GFX_Final_Assault_on_Perak,bespoke,yes,,,,,
MLA_Raid_Jungle_Bases_From_Kuala_Lumpur,MLA_Initial_Emergency.txt,MLA,584,GFX_57_days_of_hell,bespoke,yes,,,,,
MLA_Raid_Jungle_Bases_From_Terrengganu,MLA_Initial_Emergency.txt,MLA,614,GFX_Final_Assault_on_Terrenggu,bespoke,yes,,,,,
MLA_Victory_Against_the_British,MLA_Initial_Emergency.txt,MLA,641,GFX_All_out_of_steam,bespoke,yes,,,,,
MLA_Strike_the_Heart_of_Colonial_Rule,MLA_Initial_Emergency.txt,MLA,676,GFX_strike_singapore,bespoke,yes,,,,,
MLA_Entrench_Johor_Bahru,MLA_Initial_Emergency.txt,MLA,698,GFX_usa_50_fortify_the_line_of_control,bespoke,yes,,FOREIGN:usa_50,,,
MLA_Inspire_the_People_of_Singapore,MLA_Initial_Emergency.txt,MLA,731,GFX_Learn_from_our_chinese_comrades,bespoke,yes,,,,,
MLA_Shell_the_City,MLA_Initial_Emergency.txt,MLA,747,GFX_Strike_Vieth_Minh_Positions,bespoke,yes,,,,,
MLA_The_Battle_of_Singapore,MLA_Initial_Emergency.txt,MLA,769,GFX_MLA_The_Battle_of_Singapore,bespoke,yes,,,,,
MLA_Transfer_the_Capital,MLA_Initial_Emergency.txt,MLA,791,GFX_Move_the_capital_MLA,bespoke,yes,,,,,
MLA_Found_the_Peoples_Republic_of_Malaysia,MLA_50s.txt,MLA,7,GFX_MLA_Found_the_Peoples_Republic_of_Malaysia,bespoke,yes,,,,,
MLA_Chairman_Chin_Peng,MLA_50s.txt,MLA,73,GFX_MLA_Chairman_Chin_Peng,bespoke,yes,,,,,
MLA_Our_Place_in_the_Socialist_World,MLA_50s.txt,MLA,89,GFX_Comrades_in_the_east,bespoke,yes,,,,,
MLA_Co-rule_With_Shamsiah_Fakeh,MLA_50s.txt,MLA,136,GFX_MLA_Collaborating_Shamsiah_Fakeh,bespoke,yes,,,,,
MLA_Chinese_Alignment,MLA_50s.txt,MLA,184,GFX_MLAChinese_Alignment,bespoke,yes,,,,,
