Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
MEO_fortifying_the_border,MEO_50s.txt,MEO,10,GFX_Generic_National_Focus_Military_2,generic library,yes,,,,,
MEO_receive_aids_from_pla,MEO_50s.txt,MEO,41,GFX_MEO_receive_aids_from_pla,bespoke,yes,,,,,
MEO_prepare_operations_against_the_sip_song_tai,MEO_50s.txt,MEO,75,GFX_prepare_operations_against_the_sip_song_tai,bespoke,yes,,,,,
MEO_approvethehoangfamilystakeover,MEO_50s.txt,MEO,107,GFX_Generic_National_Focus_Politics_15,generic library,yes,,,,,
MEO_stay_the_course,MEO_50s.txt,MEO,143,GFX_usa80_stick_to_guerrilla_approach,bespoke,yes,,,,,
MEO_question_of_national_autonomy,MEO_50s.txt,MEO,182,GFX_usa_80_negotiate_with_other_iraqi_minorities,bespoke,yes,,FOREIGN:usa_80,,,
MEO_accept_the_unification_with_vietnam,MEO_50s.txt,MEO,211,GFX_Generic_National_Focus_Politics_17,generic library,yes,,,,,
MEO_creation_of_the_autonomous_zone_of_thaimeo,MEO_50s.txt,MEO,240,GFX_promise_wide_autonomy,bespoke,yes,,,,,
MEO_struggle_for_meo_independence,MEO_50s.txt,MEO,292,GFX_Generic_Diplomacy_1,bespoke,yes,,,,,
MEO_the_duong_trung_nhan_revolt,MEO_50s.txt,MEO,352,GFX_usa_80_the_iraqi_uprising,bespoke,yes,,FOREIGN:usa_80,,,
MEO_combat_the_duong_trung_nhan_revolt,MEO_50s.txt,MEO,379,GFX_Generic_National_Focus_Politics_50,generic library,yes,,,,,
MEO_solidify_ho_chi_minh_thought,MEO_50s.txt,MEO,406,GFX_VIN_The_Face_of_the_Party,bespoke,yes,,FOREIGN:VIN,,,
MEO_permitpavnsreinforcements,MEO_50s.txt,MEO,429,GFX_MEO_adapt_pavns_reforms,bespoke,yes,,,,,
MEO_proclaim_duong_trung_nhan_as_king_of_the_meo,MEO_50s.txt,MEO,450,GFX_Generic_National_Focus_Politics_49,generic library,yes,,,,,
MEO_revolt_against_the_vietnamese_communists,MEO_50s.txt,MEO,512,GFX_usa_80_undermine_pkk_influence,bespoke,yes,,FOREIGN:usa_80,,,
MEO_incorporate_the_kmt_thophi,MEO_50s.txt,MEO,536,GFX_MEO_accept_donations_from_chinese_warloads,bespoke,yes,,,,,
MEO_assassinate_vuong_chi_sinh,MEO_50s.txt,MEO,578,GFX_Generic_National_Focus_Military_43,generic library,yes,,,,,
MEO_tantrungbaoquocbatthunole,MEO_50s.txt,MEO,596,GFX_VIN_The_Commissar,bespoke,yes,,FOREIGN:VIN,,,
MEO_enforcekhoidaidoankettoandan,MEO_50s.txt,MEO,616,GFX_Generic_National_Focus_Politics_42,generic library,yes,,,,,
MEO_reports_from_china,MEO_50s.txt,MEO,635,GFX_MEO_reports_from_china,bespoke,yes,,,,,
MEO_expand_dan_quan_bien_phong_forces,MEO_50s.txt,MEO,662,GFX_expand_dan_quan_bien_phong_forces,bespoke,yes,,,,,
MEO_accept_chinese_war_refugees,MEO_50s.txt,MEO,691,GFX_MEO_accept_chinese_war_refugees,bespoke,yes,,,,,
MEO_resolve_ethnic_tensions,MEO_50s.txt,MEO,716,GFX_MEO_resolve_ethnic_tensions,bespoke,yes,,,,,
MEO_continue_the_opium_trade,MEO_50s.txt,MEO,733,GFX_MEO_continue_the_opium_trade,bespoke,yes,,,,,
MEO_pardon_the_duong_family,MEO_50s.txt,MEO,763,GFX_pardon_the_duong_family,bespoke,yes,,,,,
MEO_contactkuomintangswarlords,MEO_50s.txt,MEO,780,GFX_Victory_in_Yunnan,bespoke,yes,,,,,
MEO_accept_donations_from_chinese_warlords,MEO_50s.txt,MEO,802,GFX_Contact_Kuomintangs_Warloads,bespoke,yes,,,,,
MEO_import_modern_machines,MEO_50s.txt,MEO,838,GFX_MEO_import_modern_machines,bespoke,yes,,,,,
MEO_begin_the_construction_of_hanh_phuc_route,MEO_50s.txt,MEO,862,GFX_Generic_National_Focus_Construction_6,generic library,yes,,,,,
MEO_implimentbocanhnongssuggestions,MEO_50s.txt,MEO,877,GFX_impliment_bo_canh_nongs_suggestions,bespoke,yes,,,,,
MEO_confiscatetheduongfamilyandvietgiansassets,MEO_50s.txt,MEO,900,GFX_confiscate_the_duong_family_and_viet_gian_sassets,bespoke,yes,,,,,
MEO_expand_the_cattel_and_farms,MEO_50s.txt,MEO,917,GFX_Generic_National_Focus_Agriculture_4,generic library,yes,,,,,
MEO_begin_bureacratization_of_ha_giangdong_van,MEO_50s.txt,MEO,939,GFX_begin_bureacratization_of_ha_giangdong_van,bespoke,yes,,,,,
MEO_dig_out_gun_caches,MEO_50s.txt,MEO,957,GFX_MEO_dig_out_gun_caches,bespoke,yes,,,,,
MEO_expand_weapon_foundries,MEO_50s.txt,MEO,987,GFX_Expand_Weapon_Foundaries,bespoke,yes,,,,,
MEO_adaptpavnsreforms,MEO_50s.txt,MEO,1002,GFX_Generic_National_Focus_Politics_1,generic library,yes,,,,,
MEO_modernize_guerilla_tactics,MEO_50s.txt,MEO,1017,GFX_Jungle_wolf,bespoke,yes,,,,,
MEO_expand_trung_doan_dong_van,MEO_50s.txt,MEO,1035,GFX_expand_trung_doan_dong_van,bespoke,yes,,,,,
MEO_begin_early_stages_of_industrialization,MEO_50s.txt,MEO,1055,GFX_Generic_National_Focus_Construction_2,generic library,yes,,,,,
