Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
VIN_Toan_Quoc_Khang_Chien,VIN_50s.txt,VIN,13,GFX_VIN_Toan_Quoc_Khang_Chien,bespoke,yes,,,,,
VIN_1950_Trip_Beijing_Moscow,VIN_50s.txt,VIN,40,GFX_moscow_approve,bespoke,yes,,,,,
VIN_1950_Trip_Nanking_Moscow,VIN_50s.txt,VIN,76,GFX_AcademyForStudyOnRevolution,bespoke,yes,,,,,
VIN_Found_Tong_Cuc_Chinh_Tri,VIN_50s.txt,VIN,112,GFX_PRC_Denounce_liberalization,bespoke,yes,,FOREIGN:PRC,,,
VIN_Learning_Hundred_Flowers_Campaign,VIN_50s.txt,VIN,134,GFX_focus_Hundred_Flowers,vanilla,yes,,,,,
VIN_Closer_Ties_Chua_Meo,VIN_50s.txt,VIN,152,GFX_Arm_the_Hmong,bespoke,yes,,,,,
VIN_Contact_Vong_A_Sang,VIN_50s.txt,VIN,178,GFX_NUN_President_VongASang,bespoke,yes,,,,,
VIN_Dai_Hoi_II,VIN_50s.txt,VIN,209,GFX_Socialist_Electoral_Reform,bespoke,yes,,,,,
VIN_Rally_The_Gio_Tri_Thuc,VIN_50s.txt,VIN,230,GFX_Collaborate_with_Progressive_Bourgeois,bespoke,yes,,,,,
VIN_Lay_Dan_Lam_Goc,VIN_50s.txt,VIN,255,GFX_PRC_50s_Tighten_up_The_Management_of_Intellectuals,bespoke,yes,,FOREIGN:PRC,,,
VIN_The_National_Solidarity_Bloc,VIN_50s.txt,VIN,273,GFX_Generic_National_Focus_Politics_23,generic library,yes,,,,,
VIN_Ngo_Dinh_Diem_Manifesto,VIN_50s.txt,VIN,290,GFX_PreserveTheDiemRegime,bespoke,yes,,,,,
VIN_Integrate_Patriotic_Religious_Organizations,VIN_50s.txt,VIN,316,GFX_focus_liberation_theology,vanilla,yes,,,,,
VIN_Merge_Viet_Minh_Lien_Viet,VIN_50s.txt,VIN,343,GFX_Legacy_of_the_1918_revolution,bespoke,yes,,,,,
VIN_Reign_of_Stalin,VIN_50s.txt,VIN,380,GFX_Announce_Stalins_Retirement,bespoke,yes,,,,,
VIN_Under_Political_Discipline,VIN_50s.txt,VIN,410,GFX_SOV_Test_Hos_Revolutionary_Commitment,bespoke,yes,,FOREIGN:SOV,,,
