Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
VIE_Elysee_Accords,VIE_50s_Initial.txt,VIE,15,GFX_VIE_Elysee_Accords,bespoke,yes,,,,,
VIE_Solidify_BaoDai_Authority,VIE_50s_Initial.txt,VIE,41,GFX_VIE_Solidify_BaoDai_Authority,bespoke,yes,,,,,
VIE_Pressure_Cochinchina_Reunifcation,VIE_50s_Initial.txt,VIE,69,GFX_VIE_Pressure_Cochinchina_Reunifcation,bespoke,yes,,,,,
VIE_Beg_France_Intervention,VIE_50s_Initial.txt,VIE,91,GFX_VIE_Beg_France_Intervention,bespoke,yes,,,,,
VIE_Reincorporate_Cochinchina,VIE_50s_Initial.txt,VIE,119,GFX_VIE_Reincorporate_Cochinchina,bespoke,yes,,,,,
VIE_Proclam_Etat_du_Vietnam,VIE_50s_Initial.txt,VIE,147,GFX_VIE_Proclam_Etat_du_Vietnam,bespoke,yes,,,,,
VIE_Sideline_CuongDe_Ambitions,VIE_50s_Initial.txt,VIE,200,GFX_VIE_Sideline_CuongDe_Ambitions,bespoke,yes,,,,,
VIE_CuongDe_Press_Conferences,VIE_50s_Initial.txt,VIE,226,GFX_VIE_CuongDe_Press_Conferences,bespoke,yes,,,,,
VIE_Intercept_CuongDe_Return_Bangkok,VIE_50s_Initial.txt,VIE,249,GFX_VIE_Intercept_CuongDe_Return_Bangkok,bespoke,yes,,,,,
VIE_Rebuild_BaoDai_Image,VIE_50s_Bao_Dai.txt,VIE,15,GFX_VIE_Rebuild_BaoDai_Image,bespoke,yes,,,,,
VIE_Tighten_Noose_On_Western_Journalism,VIE_50s_Bao_Dai.txt,VIE,38,GFX_VIE_Tighten_Noose_On_Western_Journalism,bespoke,yes,,,,,
VIE_Legalize_Casinos_Prostitutions,VIE_50s_Bao_Dai.txt,VIE,59,GFX_VIE_Legalize_Casinos_Prostitutions,bespoke,yes,,,,,
VIE_Erase_Sex_Scandels_PayOff_Debts,VIE_50s_Bao_Dai.txt,VIE,83,GFX_VIE_Erase_Sex_Scandels_PayOff_Debts,bespoke,yes,,,,,
VIE_Expand_Grande_Monde_Casino,VIE_50s_Bao_Dai.txt,VIE,97,GFX_VIE_Expand_Grande_Monde_Casino,bespoke,yes,,,,,
VIE_DaLat_Summer_Vacation,VIE_50s_Bao_Dai.txt,VIE,121,GFX_VIE_DaLat_Summer_Vacation,bespoke,yes,,,,,
VIE_Saigon_Pearl_of_Orient,VIE_50s_Bao_Dai.txt,VIE,138,GFX_VIE_Saigon_Pearl_of_Orient,bespoke,yes,,,,,
VIE_Form_CongXa_BietDien,VIE_50s_Bao_Dai.txt,VIE,163,GFX_VIE_Form_CongXa_BietDien,bespoke,yes,,,,,
VIE_Using_Sect_Resources,VIE_50s_Bao_Dai.txt,VIE,216,GFX_VIE_Using_Sect_Resources,bespoke,yes,,,,,
VIE_Pacifying_NamPhan_Countryside,VIE_50s_Bao_Dai.txt,VIE,231,GFX_VIE_Pacifying_NamPhan_Countryside,bespoke,yes,,,,,
VIE_Request_Control_Over_Crown_Domains,VIE_50s_Bao_Dai.txt,VIE,268,GFX_VIE_Request_Control_Over_Crown_Domains,bespoke,yes,,,,,
VIE_1CP_Directive,VIE_50s_Bao_Dai.txt,VIE,304,GFX_VIE_VIE_1CP_Directive,bespoke,yes,,,,,
VIE_Assign_Long_PM,VIE_50s_Bao_Dai.txt,VIE,334,GFX_VIE_Assign_Long_PM,bespoke,yes,,,,,
VIE_Assign_Vinh_PM,VIE_50s_Bao_Dai.txt,VIE,403,GFX_VIE_Assign_Vinh_PM,bespoke,yes,,,,,
VIE_Contain_Diem_Socialist_Ambitions,VIE_50s_Bao_Dai.txt,VIE,473,GFX_VIE_Contain_Diem_Socialist_Ambitions,bespoke,yes,,,,,
VIE_Assign_Huu_PM,VIE_50s_Bao_Dai.txt,VIE,495,GFX_VIE_Assign_Huu_PM,bespoke,yes,,,,,
VIE_Assign_Toan_PM,VIE_50s_Bao_Dai.txt,VIE,565,GFX_VIE_Assign_Toan_PM,bespoke,yes,,,,,
VIE_Exile_Diem_Political_Opponents,VIE_50s_Bao_Dai.txt,VIE,635,GFX_VIE_Exile_Diem_Political_Opponents,bespoke,yes,,,,,
VIE_Assign_Tam_PM,VIE_50s_Bao_Dai.txt,VIE,669,GFX_VIE_Assign_Tam_PM,bespoke,yes,,,,,
VIE_Assign_Quang_PM,VIE_50s_Bao_Dai.txt,VIE,749,GFX_VIE_Assign_Quang_PM,bespoke,yes,,,,,
VIE_Reward_Loyal_Political_Parties,VIE_50s_Bao_Dai.txt,VIE,819,GFX_VIE_Reward_Loyal_Political_Parties,bespoke,yes,,,,,
VIE_Assign_Loc_PM,VIE_50s_Bao_Dai.txt,VIE,833,GFX_VIE_Assign_Loc_PM,bespoke,yes,,,,,
VIE_Accept_Geneva_Conference,VIE_50s_Bao_Dai.txt,VIE,908,GFX_VIE_Accept_Geneva_Conference,bespoke,yes,,,,,
VIE_Redivert_Criticism_to_French,VIE_50s_Bao_Dai.txt,VIE,955,GFX_VIE_Redivert_Criticism_to_French,bespoke,yes,,,,,
VIE_Recall_Diem,VIE_50s_Bao_Dai.txt,VIE,985,GFX_VIE_Recall_Diem,bespoke,yes,,,,,
VIE_1955_Grand_Election,VIE_50s_Bao_Dai.txt,VIE,1053,GFX_VIE_1955_Grand_Election,bespoke,yes,,,,,
VIE_Hinh_Coup,VIE_50s_Bao_Dai.txt,VIE,1109,GFX_VIE_Hinh_Coup,bespoke,yes,,,,,
VIE_BaoDai_Liberator_of_Vietnam,VIE_50s_Bao_Dai.txt,VIE,1133,GFX_VIE_BaoDai_Liberator_of_Vietnam,bespoke,yes,,,,,
VIE_Why_Revolting,VIE_50s_Bao_Dai.txt,VIE,1184,GFX_VIE_Why_Revolting,bespoke,yes,,,,,
VIE_Stabilize_Urban_Areas,VIE_50s_Bao_Dai.txt,VIE,1201,GFX_VIE_Stabilize_Urban_Areas,bespoke,yes,,,,,
VIE_Fly_to_France,VIE_50s_Bao_Dai.txt,VIE,1225,GFX_VIE_Fly_to_France,bespoke,yes,,,,,
VIE_PM_Long,VIE_50s_Bao_Dai.txt,VIE,1261,GFX_VIE_PM_Long,bespoke,yes,,,,,
VIE_Long_Promote_CalDaism,VIE_50s_Bao_Dai.txt,VIE,1282,GFX_VIE_Long_Promote_CalDaism,bespoke,yes,,,,,
VIE_Long_Friendlier_USA_Ties,VIE_50s_Bao_Dai.txt,VIE,1315,GFX_VIE_Friendlier_USA_Ties,bespoke,yes,,,,,
VIE_Long_Accept_HautCommissar_Discharge,VIE_50s_Bao_Dai.txt,VIE,1364,GFX_VIE_Long_Accept_HautCommissar_Discharge,bespoke,yes,,,,,
VIE_Long_Accept_French_Rulership,VIE_50s_Bao_Dai.txt,VIE,1387,GFX_VIE_Long_Accept_French_Rulership,bespoke,yes,,,,,
VIE_Long_Winning_French_Favoritism,VIE_50s_Bao_Dai.txt,VIE,1436,GFX_VIE_Winning_French_Favoritism,bespoke,yes,,,,,
VIE_PM_Huu,VIE_50s_Bao_Dai.txt,VIE,1471,GFX_VIE_PM_Huu,bespoke,yes,,,,,
VIE_Huu_Officer_Corp_Vietnamization,VIE_50s_Bao_Dai.txt,VIE,1492,GFX_VIE_Huu_Officer_Corp_Vietnamization,bespoke,yes,,,,,
VIE_Huu_Modernize_National_Army,VIE_50s_Bao_Dai.txt,VIE,1549,GFX_VIE_Huu_Modernize_National_Army,bespoke,yes,,,,,
VIE_Huu_Attend_1951_SF_Conference,VIE_50s_Bao_Dai.txt,VIE,1594,GFX_VIE_Huu_Attend_1951_SF_Conference,bespoke,yes,,,,,
VIE_Huu_Attract_Worldwide_Attention_SV,VIE_50s_Bao_Dai.txt,VIE,1638,GFX_VIE_Huu_Attract_Worldwide_Attention_SV,bespoke,yes,,,,,
VIE_Huu_Demand_Japan_War_Reparations,VIE_50s_Bao_Dai.txt,VIE,1663,GFX_VIE_Huu_Demand_Japan_War_Reparations,bespoke,yes,,,,,
VIE_Huu_Demand_HoangSa_TruongSa_Recognition,VIE_50s_Bao_Dai.txt,VIE,1701,GFX_VIE_Huu_Demand_HoangSa_TruongSa_Recognition,bespoke,yes,,,,,
VIE_Huu_Open_UK_USA_Embassies,VIE_50s_Bao_Dai.txt,VIE,1744,GFX_VIE_Huu_Open_UK_USA_Embassies,bespoke,yes,,,,,
VIE_Huu_Friendlier_USA_Ties,VIE_50s_Bao_Dai.txt,VIE,1790,GFX_icon_generic_white_house,generic pack,yes,,,,,
VIE_Huu_Maintain_PhapViet_DeHue,VIE_50s_Bao_Dai.txt,VIE,1829,GFX_VIE_Huu_Maintain_PhapViet_DeHue,bespoke,yes,,,,,
VIE_Huu_Request_More_French_Financial_Aid,VIE_50s_Bao_Dai.txt,VIE,1864,GFX_VIE_Huu_Request_More_French_Financial_Aid,bespoke,yes,,,,,
VIE_Huu_Accept_French_Dismissal,VIE_50s_Bao_Dai.txt,VIE,1917,GFX_VIE_Huu_Accept_French_Dismissal,bespoke,yes,,,,,
VIE_Huu_Open_Viet_VoA_Radio,VIE_50s_Bao_Dai.txt,VIE,1954,GFX_VIE_Huu_Open_Viet_VoA_Radio,bespoke,yes,,,,,
VIE_Huu_Accept_USA_Financial_Aid,VIE_50s_Bao_Dai.txt,VIE,1978,GFX_VIE_Huu_Accept_USA_Financial_Aid,bespoke,yes,,,,,
VIE_Huu_Winning_French_Favoritism,VIE_50s_Bao_Dai.txt,VIE,2023,GFX_Generic_National_Focus_Politics_1,generic library,yes,,,,,
VIE_PM_Tam,VIE_50s_Bao_Dai.txt,VIE,2064,GFX_VIE_PM_Tam,bespoke,yes,,,,,
VIE_Tam_Expand_AntiCommunist_Security,VIE_50s_Bao_Dai.txt,VIE,2085,GFX_VIE_Tam_Expand_AntiCommunist_Security,bespoke,yes,,,,,
VIE_Tam_SmallScale_CaiCach_DienDia,VIE_50s_Bao_Dai.txt,VIE,2116,GFX_Introduce_Political_Background_Checks,bespoke,yes,,,,,
VIE_Tam_SmallScale_Industrial_BuildUp,VIE_50s_Bao_Dai.txt,VIE,2137,GFX_VIE_Tam_SmallScale_Industrial_BuildUp,bespoke,yes,,,,,
VIE_Tam_Intensify_Counter_Northern_VietMinh,VIE_50s_Bao_Dai.txt,VIE,2166,GFX_VIE_Tam_Intensify_Counter_Northern_VietMinh,bespoke,yes,,,,,
VIE_Tam_Elect_VietQuoc_Leadership,VIE_50s_Bao_Dai.txt,VIE,2202,GFX_VIE_Tam_Elect_VietQuoc_Leadership,bespoke,yes,,,,,
VIE_Tam_Resign,VIE_50s_Bao_Dai.txt,VIE,2232,GFX_VIE_Tam_Resign,bespoke,yes,,,,,
VIE_PM_Buu_Loc,VIE_50s_Bao_Dai.txt,VIE,2253,GFX_VIE_PM_Buu_Loc,bespoke,yes,,,,,
VIE_Buu_Loc_Accept_Incompetent_Governnment,VIE_50s_Bao_Dai.txt,VIE,2274,GFX_VIE_Buu_Loc_Accept_Incompetent_Governnment,bespoke,yes,,,,,
VIE_Buu_Loc_Accept_Northern_Communist_Victory,VIE_50s_Bao_Dai.txt,VIE,2304,GFX_VIE_Buu_Loc_Accept_Northern_Communist_Victory,bespoke,yes,,,,,
VIE_Buu_Loc_Host_Victory_Parade,VIE_50s_Bao_Dai.txt,VIE,2357,GFX_VIE_Buu_Loc_Host_Victory_Parade,bespoke,yes,,,,,
VIE_Buu_Loc_Resign,VIE_50s_Bao_Dai.txt,VIE,2403,GFX_VIE_Buu_Loc_Resign,bespoke,yes,,,,,
VIE_PM_Vinh,VIE_50s_Bao_Dai.txt,VIE,2427,GFX_VIE_PM_Vinh,bespoke,yes,,,,,
VIE_Vinh_Incorporate_CaoDai_Nat_Armies,VIE_50s_Bao_Dai.txt,VIE,2459,GFX_VIE_Vinh_Incorporate_CaoDai_Nat_Armies,bespoke,yes,,,,,
VIE_Vinh_Pushing_Religious_Coexistance,VIE_50s_Bao_Dai.txt,VIE,2497,GFX_VIE_Vinh_Pushing_Religious_Coexistance,bespoke,yes,,,,,
VIE_Vinh_Incorporate_Sect_Assets,VIE_50s_Bao_Dai.txt,VIE,2526,GFX_VIE_Vinh_Incorporate_Sect_Assets,bespoke,yes,,,,,
VIE_Vinh_Purge_Phuong_Forces,VIE_50s_Bao_Dai.txt,VIE,2571,GFX_VIE_Vinh_Purge_Phuong_Forces,bespoke,yes,,,,,
VIE_Vinh_Expand_Japanese_Ties,VIE_50s_Bao_Dai.txt,VIE,2585,GFX_VIE_Vinh_Expand_Japanese_Ties,bespoke,yes,,,,,
VIE_Vinh_Expand_CaoDai_Influence,VIE_50s_Bao_Dai.txt,VIE,2599,GFX_VIE_Vinh_Expand_CaoDai_Influence,bespoke,yes,,,,,
VIE_Vinh_Push_CuongDe_Repatriation,VIE_50s_Bao_Dai.txt,VIE,2627,GFX_VIE_Vinh_Push_CuongDe_Repatriation,bespoke,yes,,,,,
VIE_Vinh_Rehabilitate_PhucQuoc_Members,VIE_50s_Bao_Dai.txt,VIE,2649,GFX_VIE_Vinh_Rehabilitate_PhucQuoc_Members,bespoke,yes,,,,,
VIE_Vinh_Resign,VIE_50s_Bao_Dai.txt,VIE,2663,GFX_VIE_Vinh_Resign,bespoke,yes,,,,,
VIE_PM_Toan,VIE_50s_Bao_Dai.txt,VIE,2686,GFX_VIE_PM_Toan,bespoke,yes,,,,,
VIE_Toan_Promote_DanXaism,VIE_50s_Bao_Dai.txt,VIE,2713,GFX_VIE_Toan_Promote_DanXaism,bespoke,yes,,,,,
VIE_Toan_Promote_TriRevolutions,VIE_50s_Bao_Dai.txt,VIE,2727,GFX_VIE_Toan_Promote_TriRevolutions,bespoke,yes,,,,,
VIE_Toan_CachMang_ConNguoi,VIE_50s_Bao_Dai.txt,VIE,2808,GFX_VIE_Toan_CachMang_ConNguoi,bespoke,yes,,,,,
VIE_Toan_Spread_HoaHao_Buddhism,VIE_50s_Bao_Dai.txt,VIE,2822,GFX_VIE_Toan_Spread_HoaHao_Buddhism,bespoke,yes,,,,,
VIE_Toan_Destroy_Drugs_Prostitution,VIE_50s_Bao_Dai.txt,VIE,2844,GFX_VIE_Toan_Destroy_Drugs_Prostitution,bespoke,yes,,,,,
VIE_Toan_ToanDan_ChanhTri,VIE_50s_Bao_Dai.txt,VIE,2863,GFX_VIE_Toan_ToanDan_ChanhTri,bespoke,yes,,,,,
VIE_Toan_Spread_Scientific_Knowledge,VIE_50s_Bao_Dai.txt,VIE,2882,GFX_VIE_Toan_Spread_Scientific_Knowledge,bespoke,yes,,,,,
VIE_Toan_Contact_NgoDinh_Bros,VIE_50s_Bao_Dai.txt,VIE,2909,GFX_VIE_Toan_Contact_NgoDinh_Bros,bespoke,yes,,,,,
VIE_Toan_CachMang_DanToc,VIE_50s_Bao_Dai.txt,VIE,2926,GFX_VIE_Toan_CachMang_DanToc,bespoke,yes,,,,,
VIE_Toan_Gathering_AntiFrench_Forces,VIE_50s_Bao_Dai.txt,VIE,2943,GFX_VIE_Toan_Gathering_AntiFrench_Forces,bespoke,yes,,,,,
VIE_Toan_Prepare_Anti_BaoDai_French_Coup,VIE_50s_Bao_Dai.txt,VIE,2963,GFX_VIE_Toan_Prepare_Anti_BaoDai_French_Coup,bespoke,yes,,,,,
VIE_Toan_CachMang_XaHoi,VIE_50s_Bao_Dai.txt,VIE,2977,GFX_VIE_Toan_CachMang_XaHoi,bespoke,yes,,,,,
VIE_Toan_Organize_Countryside_Communes,VIE_50s_Bao_Dai.txt,VIE,2991,GFX_VIE_Toan_Organize_Countryside_Communes,bespoke,yes,,,,,
VIE_Toan_Spread_NonCommunist_Socialism,VIE_50s_Bao_Dai.txt,VIE,3005,GFX_VIE_Toan_Spread_NonCommunist_Socialism,bespoke,yes,,,,,
VIE_Toan_Promote_KyNghe_Hoa,VIE_50s_Bao_Dai.txt,VIE,3019,GFX_VIE_NH_Promote_KyNghe_Hoa,bespoke,yes,,,,,
VIE_Toan_Allow_Private_MOP,VIE_50s_Bao_Dai.txt,VIE,3033,GFX_VIE_Toan_Allow_Private_MOP,bespoke,yes,,,,,
VIE_Toan_Beg_Sect_Cooperation,VIE_50s_Bao_Dai.txt,VIE,3047,GFX_VIE_Toan_Beg_Sect_Cooperation,bespoke,yes,,,,,
VIE_Toan_Launch_AntiFrench_AntiCommie,VIE_50s_Bao_Dai.txt,VIE,3064,GFX_VIE_Toan_Launch_AntiFrench_AntiCommie,bespoke,yes,,,,,
VIE_Toan_Success,VIE_50s_Bao_Dai.txt,VIE,3094,GFX_VIE_Toan_Success,bespoke,yes,,,,,
VIE_Toan_Assassination,VIE_50s_Bao_Dai.txt,VIE,3111,GFX_VIE_Toan_Assassination,bespoke,yes,,,,,
VIE_PM_Quang,VIE_50s_Bao_Dai.txt,VIE,3128,GFX_VIE_PM_Quang,bespoke,yes,,,,,
VIE_Quang_Reform_Civil_Services,VIE_50s_Bao_Dai.txt,VIE,3149,GFX_VIE_Quang_Reform_Civil_Services,bespoke,yes,,,,,
VIE_Quang_Pass_Labor_Union_Regulation,VIE_50s_Bao_Dai.txt,VIE,3168,GFX_VIE_Quang_Pass_Labor_Union_Regulation,bespoke,yes,,,,,
VIE_Quang_Legalize_Worker_Unions,VIE_50s_Bao_Dai.txt,VIE,3182,GFX_VIE_Quang_Legalize_Worker_Unions,bespoke,yes,,,,,
VIE_Quang_Raise_Worker_Salaries,VIE_50s_Bao_Dai.txt,VIE,3201,GFX_Generic_National_Focus_Politics_2,generic library,yes,,,,,
VIE_Quang_Form_Urban_Councils,VIE_50s_Bao_Dai.txt,VIE,3217,GFX_VIE_Quang_Form_Urban_Councils,bespoke,yes,,,,,
VIE_Quang_Modernize_Urban_Infrastructure,VIE_50s_Bao_Dai.txt,VIE,3242,GFX_VIE_Quang_Modernize_Urban_Infrastructure,bespoke,yes,,,,,
VIE_Quang_Pass_Civil_Service_Regulation,VIE_50s_Bao_Dai.txt,VIE,3271,GFX_VIE_Quang_Pass_Civil_Service_Regulation,bespoke,yes,,,,,
VIE_Quang_Reform_Health_System,VIE_50s_Bao_Dai.txt,VIE,3285,GFX_VIE_Quang_Reform_Health_System,bespoke,yes,,,,,
VIE_Quang_Establish_Saigon_Childrens_Hospital,VIE_50s_Bao_Dai.txt,VIE,3304,GFX_VIE_Quang_Establish_Saigon_Childrens_Hospital,bespoke,yes,,,,,
VIE_Quang_Expand_Public_Housing,VIE_50s_Bao_Dai.txt,VIE,3318,GFX_VIE_Quang_Expand_Public_Housing,bespoke,yes,,,,,
VIE_Quang_Stablize_BaoDai_Regime,VIE_50s_Bao_Dai.txt,VIE,3348,GFX_VIE_Quang_Stablize_BaoDai_Regime,bespoke,yes,,,,,
VIE_Quang_Propose_QuocGia_Solution,VIE_50s_Bao_Dai.txt,VIE,3373,GFX_VIE_Quang_Propose_QuocGia_Solution,bespoke,yes,,,,,
VIE_PM_Diem,VIE_50s_Bao_Dai.txt,VIE,3404,GFX_Generic_National_Focus_Politics_3,generic library,yes,,,,,
VIE_Diem_Second_in_Command,VIE_50s_Bao_Dai.txt,VIE,3427,GFX_VIE_NH_Diem_Successor,bespoke,yes,,,,,
VIE_Diem_Refugee_Commissariat,VIE_50s_Bao_Dai.txt,VIE,3457,GFX_VIE_Rescue_PhatDiem_Catholic_Militias,bespoke,yes,,,,,
VIE_Diem_Cabinet_of_Eighteen,VIE_50s_Bao_Dai.txt,VIE,3485,GFX_VIE_NH_Reorganize_Incompetent_Government,bespoke,yes,,,,,
VIE_Diem_Reinvite_CuongDe_Comrades,VIE_50s_Bao_Dai.txt,VIE,3543,GFX_VIE_NH_Promote_PhuQuoc_Hoi_Comrades,bespoke,yes,,,,,
