Focus ID,Focus File,Tag,Line,Icon,Icon Source,Sprite Defined,Dup Count In Tree,Flags,Verdict,Replacement,Notes
SIA_Legacy_of_the_Thana_Ratsadon,SIA_50s.txt,SIA,12,GFX_Generic_National_Focus_Politics_1,generic library,yes,,,,,
SIA_Securing_Phibunsongkhrams_Regime,SIA_50s.txt,SIA,33,GFX_Generic_National_Focus_Politics_10,generic library,yes,,,,,
SIA_Tolerate_Civilians_Within_Government,SIA_50s.txt,SIA,53,GFX_Generic_National_Focus_Diplomacy_1,generic library,yes,,,,,
SIA_Increase_Thai_Royal_Army_Budgets_Pol,SIA_50s.txt,SIA,78,GFX_Generic_National_Focus_Military_1,generic library,yes,,,,,
SIA_Dealing_with_Seperatists,SIA_50s.txt,SIA,101,GFX_Generic_National_Focus_Politics_11,generic library,yes,,,,,
SIA_Purging_Kat_Katsongkram,SIA_50s.txt,SIA,124,GFX_Generic_National_Focus_Politics_12,generic library,yes,,,,,
SIA_Request_US_Military_Assistance,SIA_50s.txt,SIA,149,GFX_Generic_National_Focus_USA_1,generic library,yes,,,,,
SIA_Favor_the_Rajakru_Clique,SIA_50s.txt,SIA,169,GFX_Generic_National_Focus_Politics_13,generic library,yes,,,,,
SIA_Take_Stabs_Towards_Pridi_Remnants,SIA_50s.txt,SIA,192,GFX_Generic_National_Focus_Politics_14,generic library,yes,,,,,
SIA_Reinstate_Former_Anti_Communist_Laws,SIA_50s.txt,SIA,214,GFX_Generic_National_Focus_Politics_15,generic library,yes,,,,,
SIA_Solicit_CIA_Economic_Assistance,SIA_50s.txt,SIA,245,GFX_Generic_National_Focus_USA_10,generic library,yes,,,,,
SIA_Favor_the_Sakdina_Clique,SIA_50s.txt,SIA,267,GFX_Generic_National_Focus_Politics_16,generic library,yes,,,,,
SIA_The_Manhattan_Rebellion,SIA_50s.txt,SIA,291,GFX_Generic_National_Focus_Politics_17,generic library,yes,,,,,
SIA_Reorganize_Naval_High_Command,SIA_50s.txt,SIA,308,GFX_Generic_National_Focus_Military_10,generic library,yes,,,,,
SIA_Demolish_Naval_Budgets,SIA_50s.txt,SIA,348,GFX_Generic_National_Focus_Military_11,generic library,yes,,,,,
SIA_Root_out_Naval_Defectors,SIA_50s.txt,SIA,394,GFX_Generic_National_Focus_Military_12,generic library,yes,,,,,
SIA_The_Ghosts_of_the_Royal_Thai_Navy,SIA_50s.txt,SIA,421,GFX_Generic_National_Focus_Military_13,generic library,yes,,,,,
SIA_The_Radio_Coup,SIA_50s.txt,SIA,445,GFX_Generic_National_Focus_Politics_18,generic library,yes,,,,,
SIA_Phibuns_Gamble,SIA_50s.txt,SIA,468,GFX_Generic_National_Focus_Politics_19,generic library,yes,,,,,
SIA_Phaos_Scheme,SIA_50s.txt,SIA,489,GFX_Generic_National_Focus_Politics_2,generic library,yes,,,,,
SIA_Sarit_Supremacy,SIA_50s.txt,SIA,510,GFX_Generic_National_Focus_Politics_20,generic library,yes,,,,,
SIA_Restore_Sarit_clique_and_Kings_power,SIA_50s.txt,SIA,531,GFX_Generic_National_Focus_Politics_21,generic library,yes,,,,,
SIA_Restore_the_1932_Consitution,SIA_50s.txt,SIA,556,GFX_Generic_National_Focus_Politics_22,generic library,yes,,,,,
SIA_Purging_the_Sakdina_Clique,SIA_50s.txt,SIA,578,GFX_Generic_National_Focus_Politics_23,generic library,yes,,,,,
SIA_Supress_the_Rajakru_and_Police_Clique,SIA_50s.txt,SIA,606,GFX_Generic_National_Focus_Military_14,generic library,yes,,,,,
SIA_Return_to_Neutrality,SIA_50s.txt,SIA,634,GFX_Generic_National_Focus_Politics_24,generic library,yes,,,,,
SIA_Maintain_US_CIA_Advisors,SIA_50s.txt,SIA,656,GFX_Generic_National_Focus_USA_11,generic library,yes,,,,,
SIA_Enforce_Thainess,SIA_50s.txt,SIA,680,GFX_Generic_National_Focus_Politics_25,generic library,yes,,,,,
SIA_Influencing_Cambodge_and_Laos_Politics,SIA_50s.txt,SIA,717,GFX_Generic_National_Focus_Diplomacy_10,generic library,yes,,,,,
SIA_Tolerate_the_Isan_Culture,SIA_50s.txt,SIA,753,GFX_Generic_National_Focus_Politics_26,generic library,yes,,,,,
SIA_Pleasing_the_Phao_Siyanon_Clique,SIA_50s.txt,SIA,790,GFX_Generic_National_Focus_Politics_27,generic library,yes,,,,,
SIA_Secure_control_of_the_National_Lottery_Bureau,SIA_50s.txt,SIA,818,GFX_Generic_National_Focus_Politics_28,generic library,yes,,,,,
SIA_Establish_Connections_within_the_US_State_Department,SIA_50s.txt,SIA,846,GFX_Generic_National_Focus_USA_12,generic library,yes,,,,,
SIA_Embrace_Pro_Poor_Populist_Policies,SIA_50s.txt,SIA,869,GFX_Generic_National_Focus_Politics_29,generic library,yes,,,,,
SIA_Abolish_Useless_Taxes_and_Charges,SIA_50s.txt,SIA,896,GFX_Generic_National_Focus_Politics_3,generic library,yes,,,,,
SIA_The_Rise_of_Field_Marshal_Thanarat,SIA_50s.txt,SIA,924,GFX_Generic_National_Focus_Politics_30,generic library,yes,,,,,
SIA_Insist_Establishing_Legislative_Committee,SIA_50s.txt,SIA,947,GFX_Generic_National_Focus_Politics_31,generic library,yes,,,,,
SIA_Eradicate_Pridi_Supporters,SIA_50s.txt,SIA,973,GFX_Generic_National_Focus_Construction_1,generic library,yes,,,,,
SIA_Support_Asian_Anti_Communist_countries,SIA_50s.txt,SIA,997,GFX_Generic_National_Focus_Construction_10,generic library,yes,,,,,
SIA_Tolerate_Anti_Communist_Lynchings,SIA_50s.txt,SIA,1041,GFX_Generic_National_Focus_Politics_32,generic library,yes,,,,,
SIA_Define_the_Knights_of_the_Diamond_Ring,SIA_50s.txt,SIA,1063,GFX_Generic_National_Focus_Politics_33,generic library,yes,,,,,
SIA_Destroy_the_Sarit_Loyalists,SIA_50s.txt,SIA,1092,GFX_Generic_National_Focus_Politics_34,generic library,yes,,,,,
SIA_Confirmed_Police_status_as_the_Fourth_Branch,SIA_50s.txt,SIA,1113,GFX_Generic_National_Focus_Military_15,generic library,yes,,,,,
SIA_Plead_for_Peurifoys_Support,SIA_50s.txt,SIA,1134,GFX_Generic_National_Focus_USA_13,generic library,yes,,,,,
SIA_Maintain_the_Sarit_Kingdom_system,SIA_50s.txt,SIA,1157,GFX_Generic_National_Focus_Politics_35,generic library,yes,,,,,
SIA_Arrange_for_Tiang_Sirikhanths_disappearance,SIA_50s.txt,SIA,1186,GFX_Generic_National_Focus_Politics_36,generic library,yes,,,,,
SIA_The_Continent_Erupts,SIA_50s.txt,SIA,1222,GFX_Generic_National_Focus_Politics_37,generic library,yes,,,,,
SIA_The_Chinese_Civil_War,SIA_50s.txt,SIA,1240,GFX_usa_chinese_civil_war,bespoke,yes,,FOREIGN:usa,,,
SIA_The_Fate_of_China,SIA_50s.txt,SIA,1260,GFX_Generic_National_Focus_Diplomacy_11,generic library,yes,,,,,
SIA_White_Sun_above_China,SIA_50s.txt,SIA,1281,GFX_Generic_National_Focus_Diplomacy_12,generic library,yes,,,,,
SIA_Military_Cooperation_with_Nanking,SIA_50s.txt,SIA,1305,GFX_Generic_National_Focus_Trading_1,generic library,yes,,,,,
SIA_Red_Star_above_China,SIA_50s.txt,SIA,1335,GFX_icon_generic_communism,generic pack,yes,,,,,
SIA_Responding_to_Chinas_Communist_Revolution,SIA_50s.txt,SIA,1356,GFX_Generic_National_Focus_USSR_1,generic library,yes,,,,,
SIA_Criticizing_PRCs_Thai_Autonomous_Zone,SIA_50s.txt,SIA,1378,GFX_Generic_National_Focus_USSR_10,generic library,yes,,,,,
SIA_Establish_Diplomatic_Relations_with_Mao,SIA_50s.txt,SIA,1411,GFX_Generic_National_Focus_USSR_11,generic library,yes,,,,,
SIA_Si_Ouey_Situation,SIA_50s.txt,SIA,1438,GFX_Generic_National_Focus_Politics_38,generic library,yes,,,,,
SIA_Foster_Anti_Chinese_Racism,SIA_50s.txt,SIA,1460,GFX_Generic_National_Focus_Politics_39,generic library,yes,,,,,
SIA_Establish_the_Shanghai_Embassy,SIA_50s.txt,SIA,1491,GFX_Generic_National_Focus_Diplomacy_13,generic library,yes,,,,,
SIA_Indochinas_Issues,SIA_50s.txt,SIA,1511,GFX_Generic_National_Focus_Diplomacy_14,generic library,yes,,,,,
SIA_The_Bao_Dai_Situation,SIA_50s.txt,SIA,1531,GFX_Generic_National_Focus_Politics_4,generic library,yes,,,,,
SIA_Support_Sarasins_Opposition,SIA_50s.txt,SIA,1551,GFX_Generic_National_Focus_Construction_11,generic library,yes,,,,,
SIA_Push_for_Bao_Dais_Recognition,SIA_50s.txt,SIA,1575,GFX_Generic_National_Focus_Diplomacy_15,generic library,yes,,,,,
SIA_Collapse_of_Bao_Dais_Regime,SIA_50s.txt,SIA,1596,GFX_Generic_National_Focus_Politics_40,generic library,yes,,,,,
SIA_Establish_Saigon_Embassy,SIA_50s.txt,SIA,1624,GFX_Generic_National_Focus_Diplomacy_16,generic library,yes,,,,,
SIA_Support_Current_Vietnamese_Regime,SIA_50s.txt,SIA,1655,GFX_Generic_National_Focus_Construction_12,generic library,yes,,,,,
SIA_Denounce_Socialist_Vietnam,SIA_50s.txt,SIA,1683,GFX_Generic_National_Focus_USA_14,generic library,yes,,,,,
SIA_Hosting_exiled_Vietnam_Armies,SIA_50s.txt,SIA,1710,GFX_Generic_National_Focus_Diplomacy_17,generic library,yes,,,,,
SIA_Fortify_Eastern_Defenses,SIA_50s.txt,SIA,1762,GFX_Generic_National_Focus_Military_16,generic library,yes,,,,,
SIA_Tolerate_anti_Tonkinese_Racism,SIA_50s.txt,SIA,1811,GFX_Generic_National_Focus_Politics_41,generic library,yes,,,,,
SIA_Operation_Paper,SIA_50s.txt,SIA,1839,GFX_Generic_National_Focus_Trading_10,generic library,yes,,,,,
SIA_Fund_YANSA_Opium_Operations,SIA_50s.txt,SIA,1860,GFX_Generic_National_Focus_Trading_11,generic library,yes,,,,,
SIA_Recognize_Kokang_Independence,SIA_50s.txt,SIA,1886,GFX_Generic_National_Focus_Diplomacy_18,generic library,yes,,,,,
SIA_Airdrop_Supplies_to_YANSA,SIA_50s.txt,SIA,1912,GFX_Generic_National_Focus_Politics_42,generic library,yes,,,,,
SIA_Permit_YANSA_operations_in_Thai_Soils,SIA_50s.txt,SIA,1948,GFX_Generic_National_Focus_Trading_12,generic library,yes,,,,,
SIA_The_Fate_of_YANSA,SIA_50s.txt,SIA,1969,GFX_Generic_National_Focus_Politics_43,generic library,yes,,,,,
SIA_Complete_Collapse_of_YANSA,SIA_50s.txt,SIA,1994,GFX_Generic_National_Focus_Politics_44,generic library,yes,,,,,
SIA_Settle_down_Chinese_exiles,SIA_50s.txt,SIA,2018,GFX_Generic_National_Focus_Politics_45,generic library,yes,,,,,
SIA_Takeover_the_Opium_trades,SIA_50s.txt,SIA,2042,GFX_Generic_National_Focus_Trading_13,generic library,yes,,,,,
SIA_Intensify_YANSA_Support,SIA_50s.txt,SIA,2070,GFX_Generic_National_Focus_Construction_2,generic library,yes,,,,,
SIA_Recognize_KMT_Burma,SIA_50s.txt,SIA,2093,GFX_Generic_National_Focus_Diplomacy_19,generic library,yes,,,,,
SIA_Support_the_Yunnan_Republic,SIA_50s.txt,SIA,2120,GFX_Generic_National_Focus_Construction_3,generic library,yes,,,,,
SIA_Resume_Trading_to_YANSA,SIA_50s.txt,SIA,2147,GFX_Generic_National_Focus_Trading_14,generic library,yes,,,,,
SIA_The_Malayan_Emergency,SIA_50s.txt,SIA,2175,GFX_Generic_National_Focus_Diplomacy_2,generic library,yes,,,,,
SIA_Ignore_the_Conflict,SIA_50s.txt,SIA,2195,GFX_Generic_National_Focus_Politics_46,generic library,yes,,,,,
SIA_Support_the_Malaysian_Federation_Diplomatically,SIA_50s.txt,SIA,2216,GFX_Generic_National_Focus_Construction_4,generic library,yes,,,,,
SIA_Military_Advisory_Mission_to_Malaya,SIA_50s.txt,SIA,2240,GFX_Generic_National_Focus_Diplomacy_20,generic library,yes,,,,,
SIA_The_Fate_of_Malasyia,SIA_50s.txt,SIA,2265,GFX_Generic_National_Focus_Politics_47,generic library,yes,,,,,
