Old Sprite,New Sprite,Old File,New File,Category,Notes
GFX_Generic_National_Focus_Agriculture_8,GFX_generic_focus_agriculture_collective_grain,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_8.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_collective_grain.png,agriculture,
GFX_Generic_National_Focus_Agriculture_6,GFX_generic_focus_agriculture_rice_hat,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_6.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_rice_hat.png,agriculture,corrected from agriculture_conical_hat
GFX_Generic_National_Focus_Agriculture_14,GFX_generic_focus_agriculture_crop_science,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_14.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_crop_science.png,agriculture,
GFX_Generic_National_Focus_Agriculture_11,GFX_generic_focus_agriculture_farm_ledger,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_11.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_farm_ledger.png,agriculture,
GFX_Generic_National_Focus_Agriculture_25,GFX_generic_focus_agriculture_farmer_in_the_field,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_25.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_farmer_in_the_field.png,agriculture,
GFX_Generic_National_Focus_Agriculture_7,GFX_generic_focus_agriculture_farmer_with_basket,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_7.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_farmer_with_basket.png,agriculture,
GFX_Generic_National_Focus_Agriculture_3,GFX_generic_focus_agriculture_food_stores,gfx/interface/goals/generic/agriculture/Generic_Food.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_food_stores.png,agriculture,
GFX_Generic_National_Focus_Agriculture_10,GFX_generic_focus_agriculture_grain_delivery,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_10.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_grain_delivery.png,agriculture,
GFX_Generic_National_Focus_Agriculture_18,GFX_generic_focus_agriculture_grain_sack,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_18.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_grain_sack.png,agriculture,
GFX_Generic_National_Focus_Agriculture_15,GFX_generic_focus_agriculture_handful_of_grain,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_15.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_handful_of_grain.png,agriculture,
GFX_Generic_National_Focus_Agriculture_4,GFX_generic_focus_agriculture_hoeing_the_field,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_4.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_hoeing_the_field.png,agriculture,
GFX_Generic_National_Focus_Agriculture_12,GFX_generic_focus_agriculture_irrigation,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_12.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_irrigation.png,agriculture,
GFX_Generic_National_Focus_Agriculture_16,GFX_generic_focus_agriculture_shield_and_grain_sack,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_16.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_shield_and_grain_sack.png,agriculture,corrected from agriculture_mill_and_jug
GFX_Generic_National_Focus_Agriculture_26,GFX_generic_focus_agriculture_night_harvest,gfx/interface/goals/generic/agriculture/Generic_National_Focus_Agriculture_26.png,gfx/interface/goals/generic/agriculture/generic_focus_agriculture_night_harvest.png,agriculture,
