tag,name,has_cores,core_states,states_or_suggestion
SOV,"Stalin's death in 1953 triggered a power struggle, from which [SOV.GetLeader] emerged victorious. On 25 February 1956, at the 20th Party Congress, he delivered the ""Secret Speech"", which denounced Stalin's purges and ushered in a less repressive era in the Soviet Union. His domestic policies, aimed at bettering the lives of ordinary citizens, were often ineffective, especially in agriculture. Hoping eventually to rely on missiles for national defense, [SOV.GetLeader] ordered major cuts in conventional forces.",YES,203,Kaunas; Riga; Tallin; Altayskiy Kray; Zakarpatskaya Oblast; Kishinyov
UKR,Ukrainian National Republic,YES,28,Zakarpatskaya Oblast; Chernovitskaya Oblast; Stanislavskaya Oblast; Lvovskaya Oblast; Volynskaya Oblast; Krymskaya Oblast
KAZ,Kazakh Caliphate,YES,18,Aktyubinskaya Oblast; Karagandinskaya Oblast; Guryevskaya Oblast; Zapadno-Kazakhstanskaya Oblast; Yuzhno-Kazakhstanskaya Oblast; Pavlodarskaya Oblast
FBK,Forest Brothers,YES,14,Kaunas; Riga; Tallin; Vilnyus; Telshyay; Liepaya
UIA,Ukrainian Insurgent Army,YES,8,Zakarpatskaya Oblast; Chernovitskaya Oblast; Stanislavskaya Oblast; Lvovskaya Oblast; Volynskaya Oblast; Kamenets-Podolskaya Oblast
GEO,Republic of Georgia,YES,7,Adzharskaya ASSR; Tbilisi; Kutaisi; Yugo-Osetinskaya AO; Abkhazskaya ASSR; Akhaltsikhe
BLR,Belarusian Democratic Republic,YES,6,Brestskaya Oblast; Grodnenskaya Oblast; Gomelskaya Oblast; Minskaya Oblast; Vitebskaya Oblast; Mogilevskaya Oblast
UZB,Republic of Uzbekistan,YES,6,Bukharskaya Oblast; Khorezmskaya Oblast; Samarkandskaya Oblast; Tashkentskaya Oblast; Karakalpakskaya ASSR; Kashkadaryinskaya Oblast
AZR,Republic of Azerbaijan,YES,6,Baku; Shusha; Lenkoran; Kirovabad; Nakhichevanskaya ASSR; Nagorno-Karabakhskaya AO
LIT,Republic of Lithuania,YES,5,Kaunas; Vilnyus; Klaypeda; Telshyay; Mariyampole
EST,Estonian Soviet Socialist Republic,YES,5,Tallin; Tartu; Kuressaare; Narva; Paide
LAT,Republic of Latvia,YES,5,Riga; Liepaya; Yelgava; Daugavpils; Valmiera
TMS,Turkmenistan,YES,5,Ashkhabadskaya Oblast; Krasnovodskaya Oblast; Maryyskaya Oblast; Chardzhouskaya Oblast; Tashauzskaya Oblast
TAJ,Republic of Tajikistan,YES,4,Stalinabadskaya Oblast; Gorno-Badakhshanskaya AO; Leninabadskaya Oblast; Kulyabskaya Oblast
MOL,Republic of Moldova,YES,3,Kishinyov; Tiraspol; Komrat
KYR,Kyrgyz Republic,YES,3,Frunzenskaya Oblast; Oshskaya Oblast; Issyk-Kulskaya Oblast
KRL,Republic of Karelia,YES,2,Karelo-Finskaya SSR; Alakurtti
TAN,Tuvan Autonomous Soviet Socialist Republic,YES,2,Tuvinskaya AO; Erzin
GAG,Gagauz Republic,YES,1,Komrat
ARM,Republic of Armenia,YES,1,Yerevan
SIK,Xinjiang Uygur Autonomous Region,YES,1,Gorno-Badakhshanskaya AO
WGR,"Germany began the Second World War under the wicked ambitions of Adolf Hitler, but ended it a conquered nation. The post-war occupation of Germany is nearing its end; a permanent split between a western-aligned west and a communist east is inevitable. The newborn Federal Republic of Germany finds herself in an unenviable position indeed.",YES,1,Kaliningradskaya Oblast
DDR,"Under Soviet Military governorship, the people of East Germany find themselves under the rule of the very people they oppressed. The occupation has been harsh and morale is low, but there is a glimmer of hope as the military occupation starts its transition toward the planned German Democratic Republic. At last, the home of Marx shall have a government befitting communism's birthplace.",YES,1,Kaliningradskaya Oblast
CHE,Chechen Republic of Ichkeria,YES,1,Groznenskaya Oblast
SOS,Republic of South Ossetia,YES,1,Yugo-Osetinskaya AO
ABK,Republic of Abkhazia,YES,1,Abkhazskaya ASSR
NGK,Republic of Artsakh,YES,1,Nagorno-Karabakhskaya AO
PMR,Pridnestrovian Moldavian Republic,YES,1,Tiraspol
AZK,Azerbaijan People's Government,NO,0,
BSK,Bashkir Autonomous Soviet Socialist Republic,NO,0,suggest: Bashkirskaya ASSR
CHV,Chuvash Autonomous Soviet Socialist Republic,NO,0,suggest: Chuvashskaya ASSR
CPS,Leningrad Soviet Republic,NO,0,suggest: Leningrad
ECR,Emergency Committee of Russian Federation,NO,0,
IRF,Islamic Committee of the Russian Federation,NO,0,
KLY,Kalmyk Autonomous Soviet Socialist Republic,NO,0,suggest: Stepnoy (Kalmyk lands)
KOM,Komi Autonomous Soviet Socialist Republic,NO,0,suggest: Komi ASSR
LBR,Liberal Democrats of Russia,NO,0,
MRD,Mordovian Autonomous Soviet Socialist Republic,NO,0,suggest: Mordovskaya ASSR
MRI,Mari Autonomous Soviet Socialist Republic,NO,0,suggest: Mariyskaya ASSR
MRP,Mountainous Republic of the Northern Caucasus,NO,0,
RFE,Emergency Government of the Russian Federation in Far East,NO,0,
RLG,Russian Legion,NO,0,
RMI,Romani Autonomous Soviet Socialist Republic,NO,0,
RNC,Russian National Corps,NO,0,
RNU,Russian National Union,NO,0,
RUS,Russian Soviet Federative Socialist Republic,NO,0,suggest: the whole RSFSR - ~150 states
SKU,Republic of Sakhalin and Kurils,NO,0,suggest: Sakhalinskaya Oblast + Kurilskiye Ostrova
TTR,Tatar Autonomous Soviet Socialist Republic,NO,0,suggest: Tatarskaya ASSR
USO,Union of Soviets,NO,0,
