country,resource,deposit,state_hint,weight,confidence,note
ENG,oil,South Yorkshire coalfield,Yorkshire and the Humber,150,H,largest English coalfield
ENG,oil,Durham & Northumberland coalfield,North East England,120,H,
ENG,oil,South Wales coalfield,Wales,130,H,anthracite
ENG,oil,East Midlands coalfield,East Midlands,110,H,Notts & Derbyshire
ENG,oil,Lancashire coalfield,North West England,80,H,
ENG,oil,Lanarkshire coalfield,Lanark,60,H,Scottish central belt
ENG,oil,Lothian coalfield,Lothian,40,H,
ENG,oil,Staffordshire coalfield,West Midlands,55,H,
ENG,oil,Trinidad oilfields,Trinidad,45,H,genuine 1950 producer
ENG,steel,Sheffield steel,Yorkshire and the Humber,160,H,
ENG,steel,South Wales steel,Wales,140,H,Ebbw Vale & Port Talbot
ENG,steel,Teesside & Consett,North East England,120,H,
ENG,steel,Lanarkshire steel,Lanark,70,H,Motherwell
ENG,steel,Birmingham metal trades,West Midlands,80,H,
ENG,steel,Corby & Northants ironstone,East Midlands,70,H,
ENG,steel,Marampa iron ore,Freetown,60,H,Sierra Leone iron ore
ENG,steel,Lancashire engineering,North West England,50,M,
ENG,aluminium,Kinlochleven & Fort William smelters,Scottish Highlands,60,H,hydro aluminium
ENG,aluminium,Cornish tin,Cornwall,25,H,South Crofty
ENG,aluminium,Malayan tin transit,Penang,15,M,
ENG,tungsten,Scottish Highlands minor,Scottish Highlands,10,L,low confidence
ENG,tungsten,Sierra Leone alluvials,Freetown,20,M,
ENG,chromium,minor,Cornwall,10,L,placeholder - Britain mined no uranium
CAN,aluminium,Sudbury nickel,Sudbury,220,H,Canada ~85% of world nickel
CAN,aluminium,Arvida aluminium smelter,Ville de Québec,150,H,Saguenay hydro
CAN,aluminium,Kitimat & BC smelting,Prince George,50,M,
CAN,aluminium,Trail zinc-lead,Kamloops,60,H,Kootenay smelter
CAN,aluminium,Thunder Bay base metals,Thunder Bay,40,M,
CAN,tungsten,Timmins & Kirkland Lake gold,Sudbury,140,H,Ontario gold belt
CAN,tungsten,Val d Or gold,Nord-du-Québec,90,H,Abitibi belt
CAN,tungsten,Red Lake gold,Thunder Bay,70,H,
CAN,tungsten,Yellowknife gold,Northwest Territories,45,H,
CAN,tungsten,Yukon placer,Yukon,25,M,
CAN,chromium,Port Radium uranium,Northwest Territories,120,H,Great Bear Lake
CAN,chromium,Beaverlodge & Uranium City,La Ronge,110,H,Saskatchewan
CAN,steel,Hamilton steel,Golden Horseshoe,120,H,Stelco and Dofasco
CAN,steel,Sudbury copper,Sudbury,70,H,
CAN,steel,Wabana & Quebec iron,Côte-Nord,40,M,
CAN,steel,BC copper,Kamloops,30,M,
CAN,oil,Leduc oilfield,Edmonton,90,H,discovered 1947
CAN,oil,Turner Valley,Calgary,55,H,
CAN,oil,Cape Breton coal,Nova Scotia,60,H,
CAN,oil,Athabasca oil sands,Fort McMurray,10,L,not commercial until 1967
