units = {
	### Naval OOB ###
	fleet = {	
		name = "Home Fleet"
		naval_base = 9458
		task_force = {
			name = "Home Taskforce"
			location = 9458 # Southampton
		
			ship = { name = "HMS Hermes (R12)" definition = carrier_hull equipment = { carrier_0 = { amount = 1 owner = ENG } } }
		
			ship = { name = "HMS Invincible (R05)" definition = carrier_hull equipment = { carrier_2 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Bristol (D23)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS London (D16)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG} } }
			ship = { name = "HMS Antrim (D18)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG} } }
			ship = { name = "HMS Glamorgan (D19)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG} } }
			ship = { name = "HMS Fife (D20)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG} } }
			ship = { name = "HMS Norfolk (D21)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG} } }

			ship = { name = "HMS Sheffield (D80)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Birmingham (D86)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Newcastle (D87)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cardiff (D108)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Glasgow (D88)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Exeter (D89)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Coventry (D118)" definition = screen_hull_heavy equipment = { destroyer_2 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Lincoln (F99)" definition = screen_hull_heavy equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
        
			ship = { name = "HMS Aurora (F10)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Euryalus (F15)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Galatea (F18)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Arethusa (F38)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Naiad (F39)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Dido (F104)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Leander (F109)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Ajax (F114)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cleopatra (F28)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Sirius (F40)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Phoebe (F42)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Minerva (F45)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Danae (F47)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Juno (F52)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Argonaut (F56)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Penelope (F127)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Achilles (F12)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Diomede (F16)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Andromeda (F57)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Hermione (F58)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Jupiter (F60)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Bacchante (F69)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Apollo (F70)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Scylla (F71)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Ariadne (F72)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Charybdis (F75)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Torquay (F43)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Yarmouth (F101)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Lowestoft (F103)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Brighton (F106)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Rothesay (F107)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Londonderry (F108)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Falmouth (F113)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Berwick (F115)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Plymouth (F126)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Rhyl (F129)" definition = screen_hull_medium equipment = { frigate_1 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Broadsword (F88)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Battleaxe (F89)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Amazon (F169)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Antelope (F170)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Active (F171)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Ambuscade (F172)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Arrow (F173)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Alacrity (F174)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Ardent (F184)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Avenger (F185)" definition = screen_hull_medium equipment = { frigate_2 = { amount = 1 owner = ENG } } }

			ship = { name = "HMS Oberon (S09)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Odin (S10)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Orpheus (S11)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Olympus (S12)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Osiris (S13)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Onslaught (S14)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Otter (S15)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Oracle (S16)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Otus (S18)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Ocelot (S17)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Opossum (S19)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Opportune (S20)" definition = sub_hull_large_single equipment = { attack_submarine_1 = { amount = 1 owner = ENG } } }
