units = {

	### Naval OOB ###
fleet = {				
		name = "Reserve Fleet"						
		naval_base = 540
		task_force = {
			name = "Reserve Fleet"						
			location = 540 # Plymouth
			ship = { name = "HMS Argonaut" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = ENG version_name = "Dido(refit) Class" } } }
			ship = { name = "HMS Royalist" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = ENG version_name = "Bellona Class" } } }
			ship = { name = "HMS Bermuda" definition = light_cruiser equipment = { light_cruiser_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Newfoundland" definition = light_cruiser equipment = { light_cruiser_2 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cumberland" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = ENG version_name = "County Class" } } }
			ship = { name = "HMS Devonshire" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = ENG version_name = "County Class" } } }
			ship = { name = "HMS Sussex" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = ENG version_name = "County Class" } } }
			ship = { name = "HMS Norfolk" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = ENG version_name = "County Class" } } }
			ship = { name = "HMS Atherstone" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cattistock" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cleveland" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Eglinton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Fernie" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Garth" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Hambledon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Holderness" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cotswold" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cottesmore" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Pytchley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Quantock" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Southdown" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Whaddon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Avon Vale" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Blankney" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Blencathra" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Brocklesby" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Chiddingfold" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Croome" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Cowdray" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Farndale" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Lamerton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Wheatland" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Wilton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Ledbury" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Beaufort" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Blackmore" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Calpe" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Exmoor" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Middleton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Oakley" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Tetcott" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Zetland" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Albrighton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Belvoir" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Bleasdale" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Easton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Eggesford" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Haydon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Melbreak" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Stevenstone" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Talybont" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Brecon" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Brissenden" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG } } }
			ship = { name = "HMS Milne" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Musketeer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Matchless" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Meteor" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Marne" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }	
			ship = { name = "HMS Obdurate" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }	
			ship = { name = "HMS Obedient" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }	
			ship = { name = "HMS Orwell" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }		
			ship = { name = "HMS Paladin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Petard" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Relentless" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }	
			ship = { name = "HMS Rocket" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "M/O/P/Q/R Class" } } }
			ship = { name = "HMS Savage" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Teazer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Termagant" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Terpsichore" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Tumult" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Tuscan" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Tyrian" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Grenville" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Ulster" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Ulysses" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
			ship = { name = "HMS Undaunted" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = ENG version_name = "S/T/U/V/W/Z Class" } } }
