l_english:
 JAP_The_Self_Defense_Force:0 "Establish the JSDF"
 JAP_Rehabilitate_Some_Imperial_Officers:0 "Rehabilitate Some Imperial Officers"
 JAP_Raise_the_IJN_Nashi:0 "Raise the IJN Nashi"
 JAP_The_Air_Self_Defense_Force:0 "Japan Air Self-Defense Force"
 JAP_Purchase_F_104_Starfighters:0 "Purchase F-104 Starfighters"
 JAP_Produce_F_86F_Fighters:0 "Produce F-86F Fighters"
 JAP_Acquire_F_86Ds:0 "Acquire F-86Ds"
 JAP_Restore_Fuchu_Airbase:0 "Restore the Fuchu Airbase"
 JAP_The_Ground_Self_Defense_Force:0 "Japan Ground Self-Defense Force"
 JAP_Surplus_American_Garand_Rifles:0 "Surplus American Garand Rifles"
 JAP_American_Sherman_and_Chaffee_Tanks:0 "Acquire Sherman and Chaffee Tanks"
 JAP_Establish_the_Technical_Research_and_Development_Institute:0 "Establish the Technical Research and Development Institute"
 JAP_Acquire_M1_90_Anti_Aircraft_Guns:0 "Acquire 90mm M1 Anti-Aircraft Guns"
 JAP_Plans_for_a_New_Domestic_Tank:0 "Plans for a New Domestic Tank"
 JAP_American_Howitzers:0 "Acquire American Howitzers"
 JAP_The_Maritime_Self_Defense_Force:0 "Japan Maritime Self-Defense Force"
 JAP_Acquire_American_Frigates:0 "Acquire American Frigates"
 JAP_Acquire_American_Frigates_tt:0 "Six PC-461-class frigates will be added to the stockpile."
 JAP_Decommissioned_American_Naval_Assets:0 "Decommissioned American Naval Assets"
 JAP_Rebuiling_the_Fleet:0 "Rebuilding the Fleet"
 JAP_Import_S_2_Trackers:0 "Import S-2 Trackers"
 JAP_Purchase_Lockheed_P_2_Neptunes:0 "Purchase Lockheed P-2 Neptunes"
 JAP_The_CVH_Proposal:0 "The CVH Proposal"
 
