l_english:
 Sumitomo_Heavy_Industries_naval:0 "Sumitomo Heavy Industries"
 Ishikawajima_Harima_Heavy_Industries_Co:0 "Ishikwajima Harima Heavy Industries" 
 Mitsui_Engineering_and_Shipbuilding:0 "Mitsui Engineering and Shipbuilding"
 Maizuru_Heavy_Industries:0 "Maizuru Heavy Industries"
 Sasebo_Heavy_Industries_Co_Ltd:0 "Sasebo Heavy Industries"
 mitsubishi:0 "Mitsubishi"
 aichi:0 "Aichi"
 nakajima:0 "Nakajima"
 yokosuka:0 "Yokosuka"
 kawasaki:0 "Kawasaki"
 nintendo:0 "Nintendo"
 sumitomo:0 "Sumitomo"
 howa_material:0 "Howa Material"
 miroku_corp:0 "Miroku Corp"
 Hitachi:0 "Hitachi"
 Mitsubishi_Electronics:0 "Mitsubishi Electronics"
 Sumitomo_Heavy_Industries_materiel:0 "Sumitomo Heavy Industries Material"
 Minebea:0 "Minebea"
 Komatsu_Limited:0 "Komatsu Limited"
 Howa_Motors:0 "Howa Motors"
 Idemitsu:0 "Idemitsu"
 
