congo_mutiny.1		#The Soldiers Mutiny
mobutu_cos.1		#Mobutu Appointed Chief of Staff
lumumba_deposed.1	#Patrice Lumumba Deposed
un_congo.1			#Appeal for UN Intervention
un_congo.2			#Congo Issues Diplomatic Protests over UN Incompetence
congo_un.20			#Congo Demands Withdrawal of UN Forces
un_congo.3			#Congo Issues Final Ultimatum Over UN Forces
belgium_congo.1		#Congo Demands Belgian Withdrawal
lumumba_death.1		#Execution of Patrice Lumumba
mobutu.1			#Mobutu Coup
mobutu.2			#Failed Coup Attempt in the Congo
mobutu.3			#Mercenary Crackdown in the Congo
zaire.1				#The Nation of Zaire
tshombe.1			#The Savior of the Congo
mobutu_execution.1	#Execution of Mobutu


Country Events
congo_int.1		#Request Belgian Aid
congo_int.2		#Request American Aid
cabinda_trade.1	#The Cabinda Offer
