Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Hulls,Light Hull [DONE],1939,Early World War 2 Light Hull,Early World War 2 Light Hull,Early World War 2 Light Hull,Light Hull I,Light_Hull_0,1,0.7,,,,,20,,6,,5,,,,6,,,,,,,,,,,2.5,,,,1,,,,,,
,,1942,Mid-World War 2 Light Hull,Mid-World War 2 Light Hull,Mid-World War 2 Light Hull,Light Hull II,Light_Hull_1,1.05,0.7,,,,,20,,6,,7.5,,,,6.5,,,,,,,,,,,2.9,,,,1,,,,,,
,,1944,Late World War 2 Light Hull,Late World War 2 Light Hull,Late World War 2 Light Hull,Light Hull III,Light_Hull_2,1.1000000000000001,0.7,,,,,20,,6,,10,,,,7,,,,,,,,,,,3.3,,,,1,,,,,,
,,1950,Post-World War 2 Light Hull,Post-World War 2 Light Hull,Post-World War 2 Light Hull,Light Hull IV,Light_Hull_3,1.1500000000000001,0.7,,,,,20,,6,,12.5,,,,7.5,,,,,,,,,,,3.6999999999999997,,,,2,1,,,,,
,,1960,Early Cold War Light Hull,Early Cold War Light Hull,Early Cold War Light Hull,Light Hull V,Light_Hull_4,1.2000000000000002,0.7,,,,,20,,6,,15,,,,8,,,,,,,,,,,4.0999999999999996,,,,2,1,,,,,
,,1970,Mid-Cold War Light Hull,Mid-Cold War Light Hull,Mid-Cold War Light Hull,Light Hull VI,Light_Hull_5,1.2500000000000002,0.7,,,,,20,,6,,17.5,,,,8.5,,,,,,,,,,,4.5,,,,2,1,,,,,
,,1980,Late Cold War Light Hull,Late Cold War Light Hull,Late Cold War Light Hull,Light Hull VII,Light_Hull_6,1.3000000000000003,0.7,,,,,20,,6,,20,,,,9,,,,,,,,,,,4.9000000000000004,,,,2,1,,,,,
,,1990,Early Modern Light Hull,Early Modern Light Hull,Early Modern Light Hull,Light Hull VIII,Light_Hull_7,1.3500000000000003,0.7,,,,,20,,6,,22.5,,,,9.5,,,,,,,,,,,5.3000000000000007,,,,2,1,,,,,
,,2000,Modern Light Hull,Modern Light Hull,Modern Light Hull,Light Hull IX,Light_Hull_8,1.4000000000000004,0.7,,,,,20,,6,,25,,,,10,,,,,,,,,,,5.7000000000000011,,,,2,1,,,,,
,,2010,Advanced Modern Light Hull,Advanced Modern Light Hull,Advanced Modern Light Hull,Light Hull X,Light_Hull_9,1.4500000000000004,0.7,,,,,20,,6,,27.5,,,,10.5,,,,,,,,,,,6.1000000000000014,,,,2,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medium/MBT Hull [DONE],1939,Early World War 2 Medium Hull,Early World War 2 Medium Hull,Early World War 2 Medium Hull,Medium Hull I,MBT_Hull_0,1.1000000000000001,0.8,,,,,30,,5,,30,,,,5,,,,,,,,,,,5,,,,2,,,,,,
,,1942,Mid-World War 2 Medium Hull,Mid-World War 2 Medium Hull,Mid-World War 2 Medium Hull,Medium Hull II,MBT_Hull_1,1.1500000000000001,0.8,,,,,30,,5,,35,,,,5.5,,,,,,,,,,,5.75,,,,2,,,,,,
,,1944,Late World War 2 Medium Hull,Late World War 2 Medium Hull,Late World War 2 Medium Hull,Medium Hull III,MBT_Hull_2,1.2000000000000002,0.8,,,,,30,,5,,40,,,,6,,,,,,,,,,,6.5,,,,2,,,,,,
,,1950,Post-World War 2 Medium Hull,Post-World War 2 Medium Hull,Post-World War 2 Medium Hull,Medium Hull IV,MBT_Hull_3,1.2500000000000002,0.8,,,,,30,,5,,45,,,,6.5,,,,,,,,,,,7.25,,,,3,,,,,,
,,1960,First Generation Main Battle Tank Hull,First Generation Main Battle Tank Hull,First Generation Main Battle Tank Hull,MBT Hull I,MBT_Hull_4,1.3000000000000003,0.8,,,,,30,,5,,50,,,,7,,,,,,,,,,,8,,,,3,,,,,,
,,1970,First+ Generation Main Battle Tank Hull,First+ Generation Main Battle Tank Hull,First+ Generation Main Battle Tank Hull,MBT Hull II,MBT_Hull_5,1.3500000000000003,0.8,,,,,30,,5,,55,,,,7.5,,,,,,,,,,,8.75,,,,3,,,,,,
